,,,l,p,h,Vol. mm3,Vol cm3,Weight g,Density g/cm3,average,TLS,RLS,area,TS,Vol mm3,Vol cm3,Weight g,Density charc,,Δ volume,Δ weight,fr >2 mm,fr >1 mm,fr <1 mm
,,2Ay,,,,,,,,,14,12.9,147,10.5,1896.3,1.8963,1.1857,0.6253,,,,98.04,0.98,0.98
NI,5,1A,12.8,11.8,24.6,3715.6,3.7156,2.3256,0.6259,0.5929,12,11.1,,24.1,1999.34,1.9993,2.062,1.0313,1.0394,53.81,88.6652906776746,,,
,,1Ax,,,,,,,,,12,11.1,133.2,12,995.52,0.9955,1.0064,1.0109,,,,99.9,0.1,0
,,1Ay,,,,,,,,,12,11.1,133.2,11.1,920.86,0.9209,0.9908,1.076,,,,95.24,2.38,2.38
NI,5,2A,10.9,9.6,19,1988.2,1.9882,1.113,0.5598,,10,9,,18.9,751.47,0.7515,0.97,1.2908,1.3137,37.8,87.151841868823,,,
,,2AX,,,,,,,,,10,9,90,8.7,345.92,0.3459,0.4456,1.2882,,,,100,0,0
,,2Ay,,,,,,,,,10,9,90,9,357.84,0.3578,0.4874,1.3621,,,,100,0,0
SAL,OL,1A,16.2,13.7,37.4,8300.6,8.3006,7.1241,0.8583,0.8252,15,12.5,,36.5,6843.75,6.8438,5.3208,0.7775,0.7847,82.45,74.6873289257591,,,
,,1Ax,,,,,,,,,15,12.5,187.5,18,3375,3.375,2.6231,0.7772,,,,100,0,0
,,1Ay,,,,,,,,,15,12.5,256.5,17.1,3206.25,3.2063,2.5635,0.7995,,,,97.83,1.09,1.09
SAL,OL,2A,15.4,15.2,23.7,5547.7,5.5477,4.3946,0.7921,,14.1,14.1,,23,4572.63,4.5726,3.3788,0.7389,0.7398,82.42,76.8852682838029,,,
,,2AX,,,,,,,,,14.1,14.1,198.8,11.1,2206.791,2.2068,1.611,0.73,,,,100,0,0
,,2Ay,,,,,,,,,14.1,14.1,153.7,10.9,2167.029,2.167,1.6262,0.7504,,,,73.17,12.2,14.63
SAL,PE,1A,23.7,23.1,19,10401.9,10.4019,8.3774,0.8054,0.7976,21.9,21,,18.5,8508.15,8.5082,6.3627,0.7478,0.75,81.79,75.950772315993,,,
,,1Ax,,,,,,,,,11.2,21,235.2,18.5,4351.2,4.3512,3.109,0.7145,,,,87.72,8.77,3.51
,,1Ay,,,,,,,,,9.9,21,388.5,18.5,3846.15,3.8462,3.029,0.7875,,,,76.92,13.99,9.09
SAL,PE,2A,13.5,11,18.4,2732.4,2.7324,2.1584,0.7899,,12.2,9.9,,18,2174.04,2.174,1.6021,0.7369,0.7314,79.57,74.2262787249815,,,
,,2AX,,,,,,,,,12.2,9.9,120.8,8.9,1074.942,1.0749,0.7716,0.7178,,,,86.96,6.52,6.52
,,2Ay,,,,,,,,,12.2,9.9,100,8.2,990.396,0.9904,0.7325,0.7396,,,,80,12,8
SUA,,1A,10.2,10.3,20,2101.2,2.1012,1.5564,0.7407,0.7347,9.1,9.1,,19.5,1614.795,1.6148,1.0822,0.6702,0.6738,76.85,69.532253919301,,,
,,1Ax,,,,,,,,,9.1,9.1,82.8,9.5,786.695,0.7867,0.5321,0.6764,,,,93.75,3.13,3.13
,,1Ay,,,,,,,,,9.1,9.1,81,8.9,737.009,0.737,0.4973,0.6748,,,,96.77,1.61,1.61
SUA,,2A,11.5,10.2,26.3,3085,3.085,2.248,0.7287,,10.5,9.4,,25.9,2556.33,2.5563,1.7924,0.7012,0.7005,82.86,79.7330960854093,,,
,,2AX,,,,,,,,,10.5,9.4,98.7,13.1,1292.97,1.293,0.9035,0.6988,,,,92.59,5.56,1.85
,,2Ay,,,,,,,,,10.5,9.4,125,11.9,1174.53,1.1745,0.8239,0.7015,,,,98.04,9.8,9.8
XER,,1A,19.5,21,16,6552,6.552,3.8939,0.5943,0.5996,18.8,20.2,,15.7,5962.232,5.9622,3.3384,0.5599,0.5586,91,85.7340969208249,,,
,,1Ax,,,,,,,,,18.8,9.4,176.7,15.7,2774.504,2.7745,1.5157,0.5463,,,,100,0,0
,,1Ay,,,,,,,,,18.8,10.2,295.2,15.7,3010.632,3.0106,1.7145,0.5695,,,,100,0,0
XER,,2A,21.7,19.6,22.3,9484.6,9.4846,5.7369,0.6049,,20,17.1,,21,7182,7.182,3.684,0.5129,0.5136,75.72,64.215865711447,,,
,,2AX,,,,,,,,,20,17.1,342,10.1,3454.2,3.4542,1.7642,0.5107,,,,96.15,2.88,0.96
,,2Ay,,,,,,,,,20,17.1,204,10.2,3488.4,3.4884,1.8042,0.5172,,,,90,6,4
ZIZ,NU,1A,9.5,7.7,17.2,1258.2,1.2582,0.6197,0.4925,0.5921,8.9,7.1,,17,1074.23,1.0742,0.5413,0.5039,0.5139,85.38,87.3487171211877,,,
,,1Ax,,,,,,,,,8.9,7.1,63.2,8.1,511.839,0.5118,0.2565,0.5011,,,,93.75,3.13,3.13
,,1Ay,,,,,,,,,8.9,7.1,67.6,7.6,480.244,0.4802,0.2577,0.5366,,,,90.91,4.55,4.55
ZIZ,NU,2A,11.3,11.2,17,2151.5,2.1515,1.488,0.6916,,10.5,10.1,,16.9,1792.245,1.7922,1.2025,0.6709,0.6968,83.3,80.8131720430107,,,
,,2AX,,,,,,,,,10.5,10.1,106.1,8.1,859.005,0.859,0.6141,0.7149,,,,76.92,12.82,10.26
,,2Ay,,,,,,,,,10.5,10.1,74.6,7.1,752.955,0.753,0.5306,0.7047,,,,93.75,3.13,3.13
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.728821631919638,,,,,,
,,,,,,,,,,,,,,,,,,0.947288006111535,,,,,,
,,,,,,,,,,,,,,,,,,0.678798673656854,,,,,,
,,,,,,,,,,,,,,,,,,0.945002391200382,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.281608132246042,,,,,,
,,,,,,,,,,,,,,,,,,0.318109520563508,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.73394495412844,,,,,,
,,,,,,,,,,,,,,,,,,0.721417980592292,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.402828854314003,,,,,,
,,,,,,,,,,,,,,,,,,0.409494795633409,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.389704703430194,,,,,,
,,,,,,,,,,,,,,,,,,0.384504464374945,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.844160825748858,,,,,,
,,,,,,,,,,,,,,,,,,0.764267580585511,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.695023547409785,,,,,,
,,,,,,,,,,,,,,,,,,0.675506746889421,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.81010101010101,,,,,,
,,,,,,,,,,,,,,,,,,0.782350251486054,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.759950596569724,,,,,,
,,,,,,,,,,,,,,,,,,0.726349353287562,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.738961038961039,,,,,,
,,,,,,,,,,,,,,,,,,0.69363552088994,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.797473867595819,,,,,,
,,,,,,,,,,,,,,,,,,0.725971914264597,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.794380472769929,,,,,,
,,,,,,,,,,,,,,,,,,0.742609943522976,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.752874141109435,,,,,,
,,,,,,,,,,,,,,,,,,0.759316239316239,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.520003928758512,,,,,,
,,,,,,,,,,,,,,,,,,0.535331632653061,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.489519954837922,,,,,,
,,,,,,,,,,,,,,,,,,0.44418472147146,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.87009207009207,,,,,,
,,,,,,,,,,,,,,,,,,0.822072072072072,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.763682404607752,,,,,,
,,,,,,,,,,,,,,,,,,0.837884292880194,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.765021902636582,,,,,,
,,,,,,,,,,,,,,,,,,0.772094638706328,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.780988917306053,,,,,,
,,,,,,,,,,,,,,,,,,0.752613580850024,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.307421052631579,,,,,,
,,,,,,,,,,,,,,,,,,0.301310482744752,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.308909197798087,,,,,,
,,,,,,,,,,,,,,,,,,0.31929747207525,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.330345934900015,,,,,,
,,,,,,,,,,,,,,,,,,0.332990538872892,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.415286272511043,,,,,,
,,,,,,,,,,,,,,,,,,0.411453989435641,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.582743637492241,,,,,,
,,,,,,,,,,,,,,,,,,0.584740413856418,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.626743421052632,,,,,,
,,,,,,,,,,,,,,,,,,0.580910326086956,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.579861206772522,,,,,,
,,,,,,,,,,,,,,,,,,0.587854109686967,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.588883615461689,,,,,,
,,,,,,,,,,,,,,,,,,0.625270263144017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.01092896174863,,,,,,
,,,,,,,,,,,,,,,,,,1.07595074169798,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.2881591119334,,,,,,
,,,,,,,,,,,,,,,,,,1.36206125642745,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.777214814814815,,,,,,
,,,,,,,,,,,,,,,,,,0.79953216374269,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.730019290453876,,,,,,
,,,,,,,,,,,,,,,,,,0.750428351443382,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.714515535944107,,,,,,
,,,,,,,,,,,,,,,,,,0.787540787540787,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.717806170007312,,,,,,
,,,,,,,,,,,,,,,,,,0.739603148639534,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.676373944158791,,,,,,
,,,,,,,,,,,,,,,,,,0.6747543110057,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.698778780636828,,,,,,
,,,,,,,,,,,,,,,,,,0.701472078192979,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.546295842428052,,,,,,
,,,,,,,,,,,,,,,,,,0.569481756654417,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.510740547738984,,,,,,
,,,,,,,,,,,,,,,,,,0.517199862401101,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.501134145698159,,,,,,
,,,,,,,,,,,,,,,,,,0.536602227201173,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.714896886514048,,,,,,
,,,,,,,,,,,,,,,,,,0.704690187328592,,,,,,
