,,Absolute numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Context type,Pits,,Floors,,,Fireplaces,,,,,,,,,,,,,,,,,,,,,,
DRY THORN SCRUBLAND,Acacia sp.,8,,,10,,5,,,9,,,21,80,,,,,,,1,,,7,13,0,8,,
,Acacia senegal,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Prosopis sp.,5,,,,,,,15,,,,,,,,,,,,,,,,,,,,
,Prosopis farcta,,,4,,,,,,,,,,,,,,,,2,1,,11,,,,,,
,Prosopis cineraria,,,,,,,,,,,,,,10,,,,,1,2,,19,,,3,,,
,Senna sp.,,,,,,,,,,,,8,,2,,,,,0,,,,,,,,,
,Ziziphus sp.,3,,,4,,,,,,,56,0,,,,,,,1,,,,,,,,,
,Ziziphus nummularia,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,Ziziphus mauritiana,6,,,,,15,3,,,,,,,4,,,,,,7,,,,1,1,,,
,Salvadora sp.,11,,11,13,40,,,,,,,,,,,,,,,,,,,,,,,
,Salvadora persica,15,,,,,,16,,,4,28,8,,18,4,,27,,2,,,7,,17,7,,,
,Salvadora oleoides,,,,,,70,25,57,45,,,,,6,9,9,73,,4,3,20,52,50,,4,2,,
,Azadirachta indica,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Clerodendrum sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calotropis procera,,,,,,,3,,,,,15,,,,,,,,,,,,4,,,,
,Suaeda monoica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capparis decidua,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,Leptadenia pyrotecnica,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERINE,Acacia nilotica,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tamarix aphylla,10,9,26,29,,8,41,4,21,,,3,,40,82,82,,56,89,85,73,0,27,33,11,87,,
,Dalbergia sissoo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Populus euphratica,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER,Phoenix dactylifera/sylvestris,,,,,,,13,9,,,17,,,6,,,,,,,,,3,3,,,,
,Monocotyledon,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Olea ferruginea,,,,,,,,,,67,,3,,4,,,,,,,,,10,26,,,,
,Ficus sp.,1,,,,,2,,7,9,,,21,20,2,,,,,,,,,,,,,,
,Pistcia integerrima,,,,,,,,,,25,,,,,,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNTAIN FOREST,Pinus sp.,,50,42,,,,,,3,4,,,,,,,,,,,,,,,13,,,
,Pinus sp. compression wood,,,8,,,,,,,,,,,6,,,,44,,,,,,,3,,,
,Conifer,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,
,Cedrus deodara,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
,Cedrus deodara comp. wood,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
,Quercus sp.,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
,cf. Viburnum sp.,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,Morus macroura,,,,,,,,,,,,21,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,?,,,5,3,50,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Undetermined,13,14,3,6,10,,,7,12,0,0,3,0,2,3,0,0,0,1,1,7,11,3,3,4,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
