context	grass_leaf_stem	inflorescence	woody_species	undetermined
floor	0.87	0.40	0.73	0.87
floor	0.00	0.40	0.20	0.00
ash	0.73	0.67	0.33	0.67
ash	0.93	0.67	0.60	1.00
ash	0.67	1.00	0.47	0.00
fireplace	1.00	0.00	0.00	0.60
fireplace	0.27	0.00	0.13	0.00
fireplace	0.53	0.67	1.00	0.00
fireplace	0.47	0.87	0.67	0.00
street	0.20	0.00	0.00	0.00
street	0.80	0.93	0.87	0.93
street	0.40	0.53	0.93	0.73
street	0.33	0.00	0.53	0.73
street	0.07	0.00	0.27	0.00
street	0.13	0.00	0.40	0.00
street	0.60	0.53	0.80	0.00
