context	grass_leaf_stem	inflorescence	woody_species	undetermined
floor	0.47	0.07	0.40	0.00
floor	0.73	0.60	0.33	0.00
floor	0.33	0.20	0.67	0.00
floor	0.67	0.73	0.87	0.00
floor	0.87	0.53	0.47	0.00
floor	0.80	0.07	0.93	0.00
floor	0.00	0.87	0.13	0.67
ash	0.93	0.93	1.00	0.00
ash	1.00	1.00	0.00	0.00
ash	0.13	0.60	0.80	0.00
pit	0.07	0.73	0.27	0.67
pit	0.27	0.40	0.47	0.93
pit	0.47	0.20	0.07	1.00
pit	0.47	0.00	0.13	0.67
pit	0.40	0.20	0.60	0.67
pit	0.13	0.47	0.67	0.00
