context	grass_leaf_stem	inflorescence	woody_species	undetermined
pit	0.53	0.67	0.00	0.73
pit	0.67	0.60	0.27	0.73
plaster	0.00	0.00	0.00	0.00
plaster	1.00	0.80	0.73	0.00
plaster	0.20	0.47	0.00	0.00
ash	0.33	0.33	0.47	0.60
ash	0.27	0.47	0.93	0.93
ash	0.47	0.13	0.80	0.00
ash	0.40	0.40	0.27	0.00
fireplace	0.87	0.13	0.87	0.00
fireplace	0.67	0.87	0.47	0.00
fireplace	0.93	0.93	1.00	0.60
floor	0.07	0.00	0.67	0.93
floor	0.13	0.13	0.27	0.00
floor	0.67	1.00	0.47	0.00
floor	0.60	0.67	0.00	0.73
