 ,REG,LONG,LATI,FM_cultiv,PM_cultiv,SB_cultiv,FM_ext,FM_int,FM_rf,FM_irr,PM_ext,PM_int,PM_rf,PM_irr,SB_cas,SB_ext,SB_int,SB_rf,SB_dec,SB_irr,FMcycle_m,FMcycle_v,PMcycle_m,PMcycle_v,SBcycle_m,SBcycle_v,ALT_m,ALT_v,SLO_m,SLO_v,INS_m,INS_v,GHI_m,GHI_v,AI_m,AI_v,PCI_m,PCI_v,BIO1_m,BIO1_v,BIO2_m,BIO2_v,BIO3_m,BIO3_v,BIO4_m,BIO4_v,BIO5_m,BIO5_v,BIO6_m,BIO6_v,BIO7_m,BIO7_v,BIO8_m,BIO8_v,BIO9_m,BIO9_v,BIO10_m,BIO10_v,BIO11_m,BIO11_v,BIO12_m,BIO12_v,BIO13_m,BIO13_v,BIO14_m,BIO14_v,BIO15_m,BIO15_v,BIO16_m,BIO16_v,BIO17_m,BIO17_v,BIO18_m,BIO18_v,BIO19_m,BIO19_v,SOC_m,SOC_v,BD1_m,BD1_v,BD2_m,BD2_v,CLAY1_m,CLAY1_v,CLAY2_m,CLAY2_v,SILT1_m,SILT1_v,SILT2_m,SILT2_v,SAND1_m,SAND1_v,SAND2_m,SAND2_v,GRAV1_m,GRAV1_v,GRAV2_m,GRAV2_v,CEC1_m,CEC1_v,CEC2_m,CEC2_v,ECE1_m,ECE1_v,ECE2_m,ECE2_v,PH1_m,PH1_v,PH2_m,PH2_v,OC1_m,OC1_v,OC2_m,OC2_v,TK1_m,TK1_v,TK2_m,TK2_v,TN1_m,TN1_v,TN2_m,TN2_v,TP1_m,TP1_v,TP2_m,TP2_v,TS1_m,TS1_v,TS2_m,TS2_v,WC11_m,WC11_v,WC12_m,WC12_v,WC21_m,WC21_v,WC22_m,WC22_v,WC31_m,WC31_v,WC32_m,WC32_v
"E8,""Tigray, Ethiopia"",39.424274,14.415228,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,149.75,242.6875,0,0,0,0,1991.8562,229993.5193,7.7849,39.8572,11.7981,1.2681,6.1324,0.0459,0.298,0.0009,0.151,0.0011,18.8357,6.5104,15.3501,0.2964,71.4085,1.7338,151.8822,57.0116,29.0429,6.268,7.6813,8.1132,21.3617,0.9007,19.0265,3.466,17.773,12.1132,20.8113,6.5188,16.7912,6.532,636.9259,7696.5296,148.8861,685.5958,15.0901,87.7498,85.6386,612.7235,337.257,2380.5468,59.5348,1390.0823,130.9529,251.9655,87.1876,5404.9892,26.1276,90.3696,1.2606,0.0098,1.3093,0.005,24.9618,114.2694,28.0114,164.0246,28.524,63.7414,25.8927,52.4376,45.4917,257.6302,44.6731,305.7667,4.2316,6.4864,4.6491,6.1119,0.1696,0.0018,0.1236,0.0023,0.0015,0,0.0015,0,5.755,0.6435,5.6881,0.779,2.2645,0.889,0.7934,0.0708,1.2212,0.1221,1.4648,0.0604,0.2275,0.0051,0.0761,0.0016,0.055,0.0003,0.0378,0.0002,0.0159,0.0008,0.0338,0.0326,30.236,86.838,29.4698,72.3323,33.5951,94.5422,32.2566,80.4433,16.3939,41.233,17.9715,43.5762"
"E14,""Tigray, Ethiopia"",39.423954,14.415036,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,242.6875,0,0,134.75,467.6875,1992.6714,229179.4158,7.7791,39.8511,11.7981,1.2681,6.1328,0.0458,0.298,0.0009,0.151,0.0011,18.8313,6.4868,15.3514,0.2948,71.4089,1.7332,151.8689,56.6977,29.039,6.2477,7.6758,8.0777,21.3633,0.8991,19.0239,3.4579,17.7664,12.0626,20.807,6.4957,16.7871,6.5117,636.9206,7681.848,148.9413,683.5562,15.0896,87.809,85.6752,612.2782,337.3372,2377.6335,59.5097,1390.5097,130.9753,251.146,87.0681,5392.8445,26.1296,90.3494,1.2606,0.0098,1.3093,0.005,24.9647,114.3392,28.0157,164.108,28.5149,63.6982,25.8847,52.4025,45.4966,257.8261,44.6769,306.0115,4.2293,6.4809,4.6451,6.0949,0.1696,0.0018,0.1236,0.0023,0.0015,0,0.0015,0,5.7547,0.643,5.6878,0.7784,2.2645,0.8892,0.7935,0.0708,1.2211,0.1222,1.4647,0.0605,0.2275,0.0051,0.0762,0.0016,0.055,0.0003,0.0378,0.0002,0.0158,0.0008,0.0335,0.0323,30.2323,86.8863,29.465,72.3455,33.5965,94.5989,32.2565,80.4929,16.3957,41.2544,17.9731,43.6009"
"E15,""Tigray, Ethiopia"",39.423223,14.415877,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,164.75,467.6875,0,0,164.75,467.6875,1992.8368,228566.3541,7.7734,39.7898,11.7981,1.2681,6.1332,0.0456,0.298,0.0009,0.1511,0.0011,18.8307,6.4663,15.3524,0.2945,71.411,1.7355,151.8559,56.5742,29.0389,6.2315,7.6748,8.0488,21.3641,0.8996,19.024,3.4513,17.7637,12.0135,20.8065,6.4757,16.7869,6.4928,636.919,7674.4761,148.9989,681.9962,15.0907,87.8882,85.7116,611.7244,337.4516,2373.8222,59.4926,1390.6622,130.9805,250.3311,86.9842,5386.8651,26.1158,90.4432,1.2607,0.0098,1.3094,0.005,24.9707,114.3892,28.021,164.0484,28.5069,63.607,25.8815,52.3471,45.4981,258.0038,44.6755,306.2328,4.2283,6.4942,4.6367,6.0742,0.1696,0.0018,0.1236,0.0023,0.0015,0,0.0015,0,5.7556,0.6441,5.6888,0.7795,2.2646,0.8904,0.7936,0.0708,1.2214,0.1222,1.4649,0.0602,0.2276,0.0051,0.0762,0.0016,0.055,0.0003,0.0378,0.0002,0.0158,0.0008,0.0334,0.0321,30.2316,87.0056,29.4609,72.3771,33.6039,94.764,32.254,80.5584,16.4013,41.3185,17.9761,43.6696"
"E16,""Tigray, Ethiopia"",39.419576,14.417104,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,134.75,467.6875,0,0,134.75,467.6875,1993.5761,226368.408,7.7345,39.5844,11.7981,1.2681,6.1352,0.0451,0.2978,0.0009,0.1513,0.0011,18.8283,6.3992,15.3582,0.2918,71.4161,1.7447,151.8061,56.1122,29.0397,6.1838,7.669,7.9501,21.3707,0.8972,19.0247,3.4337,17.7505,11.8296,20.8047,6.4132,16.7863,6.4318,636.8074,7625.844,149.2509,678.3821,15.1027,88.5222,85.8742,609.7035,337.9086,2376.1179,59.3982,1391.9695,131.0173,247.5618,86.507,5335.588,26.0814,90.5331,1.2612,0.0098,1.3097,0.005,24.9766,114.5813,28.0306,164.0067,28.4776,63.4098,25.8645,52.2056,45.5199,258.6105,44.6841,307.1037,4.2252,6.5429,4.6069,6.0453,0.1696,0.0018,0.1238,0.0023,0.0014,0,0.0015,0,5.7584,0.6491,5.6922,0.7847,2.2621,0.8946,0.7932,0.0708,1.2228,0.1228,1.4657,0.0596,0.2277,0.0051,0.0765,0.0016,0.0549,0.0003,0.0378,0.0002,0.0155,0.0008,0.0319,0.0304,30.2133,87.4172,29.4391,72.5627,33.5926,95.358,32.2228,80.8302,16.3981,41.5392,17.9707,43.8909"
"E17,""Tigray, Ethiopia"",39.309908,14.272498,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,842.6875,0,0,149.75,842.6875,2064.4174,131370.2202,5.9237,25.2526,11.7981,1.2681,6.2183,0.0156,0.2918,0.0003,0.1696,0.0009,18.5468,4.6094,15.6656,0.1358,70.8417,1.3445,153.1307,33.3127,29.0446,5.5163,7.0765,4.6263,21.968,0.5421,18.9258,3.0935,16.99,5.6027,20.5895,4.8623,16.5734,5.1182,628.4677,3189.6823,166.9901,541.5692,12.7115,78.568,98.8056,381.7392,373.0432,2887.8454,45.2037,952.0003,128.9593,374.1159,54.5633,1802.1747,27.9769,69.2325,1.2686,0.0094,1.3145,0.005,25.5234,125.6509,28.758,189.4722,27.1443,51.3761,24.3225,47.739,46.1417,278.7949,45.3768,356.7084,4.0746,5.7807,3.9297,3.2584,0.1667,0.0018,0.1211,0.0025,0.0012,0,0.0009,0,5.761,0.615,5.6902,0.7176,2.2262,0.8728,0.7826,0.0681,1.2092,0.1504,1.4435,0.087,0.2221,0.0052,0.0762,0.0016,0.0533,0.0004,0.0364,0.0002,0.0112,0,0.0066,0,29.4253,95.5154,28.5083,75.1684,33.3003,103.1668,31.9521,88.4375,16.4286,44.0456,18.0083,48.6207"
"E18,""Tigray, Ethiopia"",39.301506,14.268513,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,242.6875,0,0,149.75,242.6875,2061.4946,129953.0395,5.8131,24.0271,11.7981,1.2681,6.2216,0.0146,0.2913,0.0003,0.1706,0.0009,18.5718,4.6274,15.6807,0.1341,70.8144,1.3194,153.2587,33.5388,29.0873,5.5967,7.0899,4.6113,21.9974,0.531,18.9445,3.115,17.0001,5.5042,20.619,4.8956,16.6033,5.1504,628.1557,3001.5107,167.9062,540.5734,12.5567,77.7664,99.4743,368.1229,375.1222,2920.8541,44.4453,920.1913,128.4464,396.0561,53.2551,1643.735,27.9745,68.1707,1.2696,0.0094,1.3153,0.005,25.5094,126.248,28.7476,190.6858,27.1008,51.1291,24.2835,47.7156,46.1981,279.967,45.4244,359.3448,4.0751,5.842,3.8996,3.1934,0.1665,0.0018,0.1211,0.0025,0.0012,0,0.0009,0,5.7682,0.6208,5.6982,0.7231,2.2193,0.8736,0.7805,0.0679,1.2118,0.151,1.445,0.0865,0.2215,0.0052,0.0763,0.0016,0.0532,0.0004,0.0363,0.0002,0.0112,0,0.0066,0,29.3574,96.1013,28.4395,75.4913,33.2501,103.5569,31.8811,88.5672,16.4045,44.2272,17.9808,48.912"
"E19,""Tigray, Ethiopia"",39.31167,14.269629,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,179.75,242.6875,0,0,179.75,242.6875,2066.4604,131231.851,5.9418,25.3057,11.7981,1.2681,6.2178,0.0157,0.2919,0.0004,0.1698,0.0009,18.5344,4.61,15.6639,0.1357,70.8368,1.3329,153.1282,33.1276,29.031,5.5128,7.0639,4.6216,21.9672,0.5402,18.916,3.09,16.9776,5.6176,20.5766,4.8605,16.5606,5.1218,628.3764,3192.2991,167.0422,542.8927,12.6605,77.6829,98.8754,381.3919,373.1203,2886.6654,45.0663,946.2212,128.9858,373.7,54.4616,1809.5546,28.0305,68.6145,1.2683,0.0094,1.3143,0.005,25.5304,125.7628,28.776,190.4421,27.1439,51.3799,24.3025,47.6939,46.1333,278.9414,45.3774,357.5244,4.0723,5.6882,3.9416,3.2609,0.1666,0.0019,0.1209,0.0024,0.0012,0,0.0009,0,5.759,0.608,5.6875,0.7095,2.2272,0.8679,0.7826,0.068,1.2081,0.1503,1.4429,0.0879,0.2218,0.0052,0.076,0.0016,0.0533,0.0004,0.0364,0.0002,0.0113,0,0.0066,0,29.4042,95.3799,28.4914,75.1697,33.2932,102.6902,31.9657,88.3159,16.427,43.8511,18.012,48.4608"
"E20,""Tigray, Ethiopia"",39.278122,14.28514,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,119.75,842.6875,0,0,119.75,842.6875,2041.6592,131103.6646,5.5821,21.7209,11.7981,1.2681,6.2289,0.0128,0.2901,0.0003,0.171,0.0009,18.6992,4.7004,15.7092,0.1338,70.8245,1.3919,153.4242,35.9202,29.2435,5.7637,7.2093,4.6993,22.0342,0.5383,19.0402,3.2006,17.1149,5.4089,20.7556,5.0037,16.7395,5.2078,628.8248,2819.1111,168.5547,531.6143,12.7388,83.3738,99.706,359.4068,377.0527,2964.1255,44.614,933.8025,127.6369,423.3688,52.6852,1466.9204,27.5321,70.7343,1.2725,0.0094,1.3173,0.0049,25.5145,126.5462,28.6991,186.1357,27.0791,50.8029,24.3974,47.7222,46.2299,280.495,45.3594,357.3815,4.0706,6.4982,3.7781,3.1348,0.167,0.0018,0.1228,0.0026,0.0012,0,0.0009,0,5.7865,0.6727,5.723,0.7799,2.2076,0.9027,0.7775,0.0676,1.2206,0.1516,1.4508,0.079,0.2224,0.005,0.0781,0.0018,0.0529,0.0004,0.0364,0.0002,0.011,0,0.0066,0,29.4823,98.5193,28.5272,76.5345,33.304,107.1558,31.7298,88.9488,16.431,45.7711,17.9731,50.3718"
"E21,""Tigray, Ethiopia"",39.276919,14.282622,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,119.75,842.6875,0,0,119.75,842.6875,2041.8049,130721.2465,5.5682,21.5269,11.7981,1.2681,6.2292,0.0127,0.29,0.0003,0.1712,0.0009,18.7008,4.7051,15.7121,0.1332,70.8156,1.3804,153.4609,35.8871,29.2489,5.7811,7.208,4.6947,22.0409,0.5344,19.0414,3.2049,17.114,5.3979,20.7581,5.0111,16.742,5.2176,628.7755,2792.0497,168.7746,531.0752,12.6899,82.8427,99.8717,356.0481,377.5432,2964.617,44.4116,924.6964,127.5376,427.5132,52.3978,1441.8663,27.5415,70.0849,1.2725,0.0094,1.3174,0.0049,25.5071,126.724,28.6909,186.7079,27.0715,50.8115,24.3799,47.744,46.2448,280.6803,45.3824,358.0824,4.0687,6.4675,3.7809,3.1475,0.1669,0.0018,0.1226,0.0026,0.0012,0,0.0009,0,5.786,0.671,5.7224,0.7774,2.2069,0.8999,0.7769,0.0674,1.2205,0.1517,1.4507,0.0793,0.2222,0.005,0.0779,0.0018,0.0529,0.0004,0.0363,0.0002,0.011,0,0.0066,0,29.4697,98.5964,28.5172,76.6475,33.2897,107.0244,31.7198,88.9109,16.4231,45.7337,17.9669,50.3759"
"E22,""Tigray, Ethiopia"",39.27394,14.287007,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,119.75,242.6875,0,0,149.75,242.6875,2038.1234,131355.4413,5.5441,21.3883,11.7981,1.2681,6.2302,0.0126,0.2899,0.0003,0.1711,0.0009,18.7229,4.7198,15.7149,0.1336,70.826,1.4019,153.4595,36.4104,29.2732,5.8028,7.2312,4.7193,22.042,0.5384,19.0584,3.2241,17.1365,5.4001,20.7812,5.0304,16.7651,5.2264,629.0381,2802.6237,168.7381,529.1071,12.7617,84.3301,99.7877,357.7158,377.5549,2965.138,44.6116,936.7704,127.4762,428.1176,52.5515,1441.6292,27.4513,70.7537,1.273,0.0094,1.3178,0.0048,25.5205,126.7086,28.7007,185.7807,27.082,50.8078,24.4162,47.7338,46.2249,280.5555,45.3361,357.3444,4.0678,6.5959,3.7599,3.1598,0.167,0.0018,0.123,0.0026,0.0012,0,0.0009,0,5.7889,0.6812,5.7266,0.7886,2.2049,0.9054,0.7764,0.0673,1.2218,0.1518,1.4515,0.0779,0.2224,0.005,0.0783,0.0018,0.0529,0.0004,0.0364,0.0002,0.011,0,0.0066,0,29.5044,99.0465,28.5457,76.8669,33.3061,107.6413,31.6987,88.8703,16.4323,45.997,17.9725,50.604"
"E23,""Tigray, Ethiopia"",39.278839,14.294839,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,842.6875,0,0,149.75,842.6875,2038.693,132738.7101,5.5947,21.9497,11.7981,1.2681,6.2286,0.0131,0.2901,0.0003,0.1701,0.0009,18.7095,4.7029,15.7028,0.1361,70.8572,1.438,153.3326,36.5683,29.245,5.744,7.2292,4.7291,22.0157,0.5529,19.0495,3.2103,17.1336,5.4421,20.7643,5.0043,16.7478,5.1933,629.0964,2922.5161,167.8869,529.3973,12.9392,85.9737,99.1662,368.7545,375.597,2951.4812,45.3532,967.9297,127.9235,408.5701,53.6313,1536.0353,27.4049,72.516,1.2724,0.0095,1.3171,0.0048,25.5791,126.076,28.7659,183.8284,27.1171,50.6999,24.4787,47.5046,46.1303,279.7139,45.2156,354.5002,4.0666,6.6371,3.7581,3.1111,0.1674,0.0018,0.1234,0.0026,0.0012,0,0.0009,0,5.7863,0.6837,5.7242,0.793,2.212,0.9123,0.7793,0.0677,1.2202,0.1513,1.4506,0.0768,0.2234,0.005,0.0787,0.0018,0.053,0.0004,0.0366,0.0002,0.011,0,0.0067,0,29.5851,98.7354,28.6131,76.4607,33.3991,107.8835,31.777,88.8913,16.4871,46.0412,18.0234,50.5022"
"E24,""Tigray, Ethiopia"",39.278115,14.29267,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,194.75,467.6875,0,0,179.75,842.6875,2038.941,132405.8209,5.5856,21.8364,11.7981,1.2681,6.2288,0.013,0.29,0.0003,0.1704,0.0009,18.7102,4.7063,15.7054,0.1355,70.848,1.4273,153.3653,36.4553,29.2491,5.7563,7.2269,4.7256,22.0222,0.5492,19.0498,3.2113,17.1314,5.433,20.7657,5.0093,16.7492,5.2007,629.0187,2884.285,168.0878,529.8863,12.8856,85.3353,99.3252,365.692,376.05,2957.0902,45.1442,957.9701,127.8227,413.4434,53.3459,1510.94,27.4312,71.9464,1.2725,0.0095,1.3172,0.0048,25.5557,126.1684,28.7394,184.2352,27.1099,50.7748,24.4645,47.5991,46.1612,279.8848,45.2562,355.0897,4.0692,6.6242,3.7622,3.1274,0.1673,0.0018,0.1233,0.0026,0.0012,0,0.0009,0,5.7872,0.6825,5.7249,0.7916,2.2102,0.9109,0.7787,0.0677,1.2208,0.1514,1.4509,0.0771,0.2231,0.005,0.0786,0.0018,0.053,0.0004,0.0365,0.0002,0.011,0,0.0066,0,29.5582,98.6964,28.5912,76.4879,33.3704,107.7765,31.7567,88.9153,16.4692,46.0079,18.0059,50.4951"
"E25,""Tigray, Ethiopia"",39.277503,14.293606,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,842.6875,0,0,149.75,842.6875,2038.6659,132485.225,5.5823,21.814,11.7981,1.2681,6.229,0.0129,0.29,0.0003,0.1703,0.0009,18.7122,4.708,15.7056,0.1355,70.85,1.4307,153.3623,36.539,29.2512,5.7591,7.2293,4.7282,22.0219,0.5497,19.0514,3.2143,17.1333,5.4303,20.7678,5.0119,16.7513,5.2015,629.0288,2885.2237,168.0702,529.0978,12.8986,85.6066,99.3075,365.7567,376.0174,2956.0824,45.1787,959.9337,127.8228,413.2888,53.3648,1508.5696,27.409,72.0491,1.2725,0.0095,1.3172,0.0048,25.5613,126.1658,28.7461,184.0706,27.1118,50.7769,24.4712,47.5784,46.1539,279.8773,45.2428,354.8895,4.0679,6.6408,3.7595,3.1273,0.1674,0.0018,0.1234,0.0026,0.0012,0,0.0009,0,5.7874,0.6839,5.7253,0.7933,2.2102,0.9118,0.7787,0.0677,1.2208,0.1514,1.4509,0.077,0.2232,0.005,0.0786,0.0018,0.053,0.0004,0.0365,0.0002,0.011,0,0.0066,0,29.5668,98.7483,28.5983,76.506,33.3769,107.8523,31.7582,88.8981,16.4731,46.0407,18.0098,50.5163"
"E26,""Tigray, Ethiopia"",39.35822,14.434511,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,242.6875,0,0,149.75,242.6875,2009.7566,179773.565,7.1056,35.8138,11.7981,1.2681,6.1733,0.0326,0.295,0.0007,0.1554,0.0011,18.7745,5.1918,15.469,0.2348,71.4748,1.827,151.2435,46.0566,29.0573,5.4414,7.5478,6.0302,21.5095,0.8481,19.0419,3.16,17.5001,8.4,20.7675,5.3174,16.7638,5.3827,634.7653,6505.7982,154.0979,565.5925,15.2762,96.701,89.0336,545.6285,346.5646,2365.6904,57.4504,1367.0533,131.5008,197.1464,77.0162,4163.5624,25.693,95.8986,1.2693,0.01,1.314,0.0048,25.2943,118.4716,28.444,164.4733,27.9609,58.4271,25.5571,49.1164,45.6805,268.3497,44.5812,321.7536,4.1563,7.3623,4.0685,5.0034,0.1703,0.0018,0.1272,0.0027,0.0012,0,0.001,0,5.8005,0.7313,5.7442,0.8681,2.2292,0.9617,0.789,0.0699,1.2392,0.1341,1.4729,0.0526,0.2294,0.0047,0.0814,0.002,0.0539,0.0004,0.0376,0.0002,0.0117,0.0001,0.0109,0.0049,30.0198,94.4762,29.1413,75.1184,33.5793,105.4541,31.8554,84.9813,16.4756,45.2923,18.0085,47.8275"
"E27,""Tigray, Ethiopia"",39.357959,14.43498,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,149.75,242.6875,2009.6266,179726.4668,7.1009,35.774,11.7981,1.2681,6.1736,0.0325,0.295,0.0007,0.1555,0.0011,18.7751,5.1907,15.4695,0.2347,71.4755,1.8279,151.2402,46.088,29.0582,5.4429,7.5482,6.0266,21.51,0.848,19.0427,3.1618,17.4995,8.3871,20.7682,5.317,16.7645,5.3817,634.6964,6492.7022,154.1178,564.8176,15.2789,96.7628,89.0513,544.7976,346.5936,2364.8374,57.4386,1366.1426,131.5049,196.833,76.9482,4151.4264,25.6835,95.9494,1.2693,0.01,1.3141,0.0048,25.2982,118.5242,28.4471,164.4627,27.9551,58.3711,25.5539,49.0708,45.6819,268.5044,44.5817,321.936,4.1543,7.3628,4.0641,4.9849,0.1703,0.0018,0.1272,0.0027,0.0012,0,0.001,0,5.8009,0.7316,5.7447,0.8683,2.2295,0.9621,0.7891,0.0699,1.2393,0.134,1.4731,0.0524,0.2295,0.0047,0.0814,0.002,0.0538,0.0004,0.0376,0.0002,0.0117,0.0001,0.0108,0.0047,30.021,94.5647,29.1402,75.1532,33.5865,105.5394,31.8552,85.0112,16.4806,45.3289,18.0119,47.8687"
"E28,""Tigray, Ethiopia"",39.357063,14.43584,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,242.6875,0,0,149.75,242.6875,2009.0123,179650.4054,7.0868,35.6661,11.7981,1.2681,6.1742,0.0324,0.2949,0.0007,0.1555,0.0011,18.778,5.1871,15.4704,0.2347,71.479,1.8332,151.2329,46.2089,29.0617,5.4452,7.5514,6.0183,21.5103,0.8485,19.0457,3.1646,17.4999,8.3585,20.7712,5.3152,16.7678,5.3783,634.5762,6466.8602,154.1508,563.4421,15.2906,97.0008,89.0766,543.5237,346.6292,2364.9689,57.4347,1365.209,131.4886,196.849,76.8333,4126.5028,25.6483,96.286,1.2696,0.01,1.3143,0.0048,25.2982,118.6057,28.4489,164.4875,27.9437,58.2852,25.5494,49.0756,45.6926,268.7053,44.5844,322.2796,4.1563,7.4083,4.0517,4.9601,0.1703,0.0018,0.1273,0.0027,0.0012,0,0.001,0,5.8032,0.7351,5.7474,0.872,2.2273,0.9641,0.7886,0.0699,1.2401,0.1343,1.4733,0.0523,0.2294,0.0047,0.0815,0.002,0.0538,0.0004,0.0376,0.0002,0.0117,0.0001,0.0108,0.0047,30.0082,94.6977,29.1259,75.1823,33.5744,105.7796,31.838,85.0996,16.4749,45.4185,18.0051,47.97"
"E30,""Tigray, Ethiopia"",39.380183,14.425449,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,164.75,467.6875,2008.1429,193106.998,7.342,37.3682,11.7981,1.2681,6.1606,0.037,0.2962,0.0008,0.1541,0.0011,18.7693,5.5228,15.4333,0.2492,71.4517,1.7807,151.3885,47.4925,29.0279,5.6096,7.5616,6.5722,21.4663,0.8598,19.0172,3.207,17.5594,9.4582,20.7561,5.6053,16.7482,5.675,635.7555,6879.7326,152.5714,600.3232,15.187,93.3158,88.041,568.5962,343.9,2335.5899,58.0265,1375.8103,131.4832,208.8847,80.1221,4606.982,25.8671,93.6287,1.266,0.01,1.312,0.0048,25.1947,116.8986,28.3166,164.0953,28.1408,60.1136,25.6567,50.0216,45.6114,264.8278,44.6125,316.3045,4.1782,6.9941,4.2592,5.3908,0.1702,0.0018,0.126,0.0025,0.0013,0,0.0011,0,5.7827,0.697,5.7221,0.8334,2.2447,0.9386,0.7921,0.0704,1.2328,0.1302,1.4702,0.0553,0.2292,0.0048,0.0797,0.0019,0.0543,0.0003,0.0377,0.0002,0.0128,0.0003,0.0166,0.0118,30.0892,91.758,29.2481,74.0631,33.6023,101.8448,32.0136,83.7123,16.4601,43.9072,18.0081,46.3204"
"E100,""Sindh, Pakistan"",67.478987,27.328687,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,82.88,273.6256,82.88,273.6256,344.8533,211912.0837,3.0857,21.5654,11.9033,1.246,5.5172,0.02,0.0648,0.0008,0.157,0.0004,25.2642,7.0671,16.6163,0.1202,43.8049,1.2321,725.8784,715.5336,42.6398,9.6813,5.1109,3.7755,37.5289,1.4134,32.1503,4.8287,22.5221,14.8427,33.3835,7.9988,14.9755,5.0936,138.4618,911.6762,37.5811,27.4949,1.4547,0.2654,89.0609,142.4754,78.1565,121.6471,10.949,3.3433,58.6909,440.2215,28.8522,135.9957,34.4999,88.1742,1.4021,0.008,1.4224,0.003,19,0,19.7023,2.2093,33.6233,41.4853,36.3256,24.5475,48.5116,55.232,42.9721,12.0283,5.893,19.8835,8.4884,55.232,0.1539,0.0003,0.1567,0,0.0232,0.0002,0.0422,0.0007,7.9433,0.0025,7.8865,0.0098,0.686,0.1571,0.1192,0.0108,1.75,0,1.49,0,0.08,0,0.0227,0.0004,0.05,0,0.05,0,0.2387,0.0433,1.4207,1.5335,26,0,28.2731,3.9258,22.2977,2.2093,22.8651,0.9819,10.4326,0.2455,9.4326,0.2455"
"E101,""Sindh, Pakistan"",67.564096,27.370887,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,97.2683,585.0256,265.1283,173003.2663,2.391,18.0523,11.9033,1.246,5.4884,0.0158,0.059,0.0007,0.1571,0.0005,25.7159,5.8299,16.5677,0.1223,43.4432,1.154,732.7664,570.9289,43.1828,7.9304,5.4545,3.1742,37.7284,1.1246,32.5219,4.0355,23.4095,20.8903,33.8983,6.5939,15.3195,4.2079,132.4304,790.4728,36.0695,31.1507,1.4479,0.2692,88.829,159.6182,75.3807,128.3348,11.1099,4.0599,53.9628,388.2481,27.3462,113.3455,33.2985,80.8183,1.4181,0.0073,1.4322,0.0027,19.0194,0.1933,19.991,2.3075,32.4976,38.3759,35.4576,22.6698,49.7884,51.9791,43.5514,11.8586,5.0871,18.298,7.1496,50.7617,0.1509,0.0003,0.1564,0,0.0258,0.0002,0.0469,0.0007,7.9342,0.0023,7.8691,0.009,0.6159,0.1444,0.1384,0.0102,1.75,0,1.49,0,0.0801,0,0.0263,0.0004,0.05,0,0.05,0,0.2753,0.0398,1.6389,1.4114,26,0,28.6223,3.6131,22.0632,2.5205,22.7159,1.2972,10.3512,0.2511,9.3589,0.3386"
"E102,""Sindh, Pakistan"",67.551483,27.381234,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,70.6667,95.5556,97.2683,585.0256,282.1385,183494.6512,2.5331,18.8988,11.9033,1.246,5.4918,0.0169,0.0599,0.0007,0.1558,0.0004,25.6228,6.2029,16.5593,0.1227,43.4676,1.1779,732.1124,593.9558,43.0808,8.4148,5.3915,3.3849,37.6893,1.1783,32.4559,4.2662,23.4262,21.1826,33.8033,6.9961,15.24,4.4849,133.6357,843.4188,36.083,31.4874,1.4727,0.2801,88.1153,154.0357,75.4942,133.2631,11.2033,4.0476,54.6869,412.4598,27.916,118.8413,33.5976,83.206,1.415,0.0075,1.4303,0.0028,19,0,19.9164,2.0768,32.6954,38.9973,35.6119,23.0753,49.5822,51.9195,43.4717,11.3069,5.2507,18.691,7.4178,51.9195,0.1514,0.0003,0.1564,0,0.0253,0.0002,0.0461,0.0007,7.9361,0.0023,7.8722,0.0092,0.6289,0.1477,0.1342,0.0102,1.75,0,1.49,0,0.08,0,0.0256,0.0004,0.05,0,0.05,0,0.2687,0.0407,1.5994,1.4406,26,0,28.559,3.6879,22.0836,2.0768,22.7224,0.923,10.3612,0.2308,9.3612,0.2308"
