cat,Code,SAMPLE,AG,AL,AS,BA,BI,CA,CO,CR,CU,FE,K,MG,MN,NA,NI,P,PB,S,SR,V,ZN,PHOSPHATES,FATS,PROTEIC_RE,X,Y
43,In-85,In-85,0.2,0.51,2,30,0,1.03,4,16,9,1.05,0.23,0.3,177,0.1,12,470,5,0.08,113,22,21,6,1,10,11.5,-9
44,In-86,In-86,1.5,0.72,5,50,0,3.75,5,21,13,1.27,0.36,0.54,231,0.26,16,1020,6,0.12,175,29,38,4.5,3,10,12,-11.5
45,In-87,In-87,2.3,0.66,4,50,0,2.5,5,21,15,1.24,0.29,0.5,224,0.32,16,1200,5,0.14,145,27,41,6,3,12,12,-9.5
46,In-90,In-90,0.6,0.63,4,50,0,2.43,5,23,12,1.17,0.26,0.45,205,0.11,17,830,6,0.07,118,27,31,4.5,3,10,12,-12.5
47,In-93,In-93,1,0.52,4,40,0,2.55,4,17,11,1.12,0.28,0.4,184,0.35,13,960,5,0.12,133,26,28,6,2.5,10.5,12,-10.5
48,In-96,In-96,0.6,0.85,4,50,0,4.69,6,23,13,1.41,0.25,0.56,225,0.32,17,860,7,0.08,235,34,62,6,2.5,11,12.5,-9
49,In-98,In-98,0.8,0.88,3,60,0,4,6,25,15,1.46,0.25,0.56,265,0.16,19,860,7,0.09,194,32,36,4.5,2.5,10,12.5,-13
50,In-100,In-100,1.2,0.55,3,40,3,2.59,4,17,12,1.04,0.29,0.43,185,0.26,12,760,5,0.1,118,25,29,4,2.5,10,12.5,-11
51,In-101,In-101,0.8,0.49,7,40,0,2.49,4,16,13,1.02,0.26,0.39,171,0.37,12,840,4,0.1,111,22,26,6,3,10.5,12.5,-10
52,In-102,In-102,1.6,0.65,7,50,3,3.57,5,19,13,1.16,0.25,0.51,207,0.28,15,860,5,0.11,190,26,32,4.5,3,10,13,-10.5
53,In-103,In-103,0.3,0.63,5,50,4,3.47,5,18,11,1.29,0.26,0.47,199,0.38,14,750,5,0.12,128,28,26,4.5,2.5,10,13,-9.5
54,In-106,In-106,0.7,0.4,6,40,2,2.35,3,13,10,0.81,0.32,0.34,152,0.3,10,1040,3,0.11,343,18,23,5,2,10.5,8.5,-12
55,In-109,In-109,0.3,0.46,5,40,2,2.4,3,14,10,0.86,0.28,0.34,168,0.18,11,990,4,0.09,117,19,31,6,2.5,9.5,9,-12
56,In-110,In-110,0,0.47,7,30,2,2.16,4,15,10,1.06,0.21,0.31,163,0.14,11,890,4,0.06,97,21,25,6,2.5,10,9,-12.5
57,In-111,In-111,0.3,0.39,3,40,3,2.76,3,13,9,0.87,0.23,0.29,146,0.27,9,980,3,0.09,118,19,21,6,3,10,9,-11.5
58,In-112,In-112,0.8,0.57,7,40,3,3.34,4,18,10,1.1,0.28,0.37,190,0.19,13,930,4,0.07,130,24,26,6,2.5,10.5,9.5,-11
59,In-114,In-114,0,0.89,6,60,3,2.22,6,22,17,1.4,0.63,0.66,259,0.24,17,2080,7,0.32,321,26,37,6.5,0,11,9.5,-12
60,In-115,In-115,0,0.34,5,30,2,2.04,3,12,7,0.85,0.15,0.22,122,0.09,8,670,3,0.05,78,27,17,6,2.5,10,9.5,-11.5
61,In-117,In-117,0.6,0.54,5,50,2,2.59,4,14,10,0.93,0.24,0.41,183,0.16,12,720,5,0.08,191,20,26,5.5,2,10,10,-12.5
62,In-118,In-118,0.3,0.53,5,40,2,1.82,4,16,9,0.98,0.34,0.36,179,0.17,12,620,4,0.06,88,20,22,6,2.5,10,10.5,-12
63,In-119,In-119,0.5,0.79,7,50,4,3.25,5,21,17,1.33,0.28,0.51,214,0.44,18,820,6,0.12,256,29,32,6,2.5,10,10.5,-10
64,In-121,In-121,0.4,0.49,6,40,3,2.81,4,14,11,0.89,0.27,0.46,187,0.35,11,880,5,0.1,145,20,26,5,2.5,10,10.5,-11
65,In-123,In-123,0.6,0.66,6,50,2,3.1,4,18,12,1.15,0.49,0.54,218,0.2,14,880,5,0.1,134,26,30,5,2.5,9.5,11,-12.5
66,In-126,In-126,0.8,0.53,5,40,2,2.59,4,17,11,0.97,0.3,0.45,183,0.37,12,910,4,0.12,122,22,29,5.5,2,10,11,-10.5
67,In-127,In-127,0.6,0.47,5,40,3,2.43,4,15,9,0.93,0.27,0.41,174,0.19,11,780,3,0.08,113,20,25,5.5,2,10,11,-11.5
68,In-129,In-129,0.6,0.68,4,40,0,3.06,5,20,15,1.18,0.26,0.51,215,0.16,18,990,7,0.1,153,30,34,6,1.5,10,11.5,-13
69,In-130,In-130,0.9,0.63,4,40,0,2.56,5,21,12,1.12,0.29,0.46,211,0.22,16,920,6,0.09,121,26,34,5,1.5,10,11.5,-11
70,In-134,In-134,0.9,0.71,5,30,0,2.49,6,23,13,1.25,0.32,0.49,230,0.16,18,880,5,0.08,114,30,33,5,2.5,10,11.5,-12
