step	CCRONDEL	CCOVOIDE	CC.CRUZ	CCCUBICA	CCTRAPEZIFORM	BILOBADA	POLILOBADA	SADDLE	ELONGATESMOOTH	ELONGATESINUOUS	ELECHINATE	ELDENDRITICO	TRAPEZIFORMSINUOUS	TRAPEZIFORMPOLILOBATE	BULIFORME	PAPILLA	TRICOMA	BASETRICOMA	ESTOMA	CORKCELL	XYLEMCELL	CYPERACEAE	DETGRAMINEA	cf.FERN	GLOBULARSMOOTH	GLOBULARECHINATE	GLOBULARRUGOSE	BLOCKY	JIGSAW	PLACAPERFORADA	EPIDERMDICOT	DETDICOT		
1-100B12	49	9	0	0	0	1	0	0	2	0	2	0	0	4	2	2	11	0	0	0	0	0	0	0	0	1	0	2	1	0	4	2		
1-150B12	74	9	0	0	0	1	0	0	6	0	2	0	0	10	2	2	19	0	0	0	0	0	0	0	0	1	0	3	1	0	9	2		
1-200B12	104	10	0	0	0	1	0	0	9	0	2	0	0	14	4	2	20	0	0	0	0	0	0	0	0	3	0	3	3	0	11	3		
1-250B12	125	18	0	0	0	1	0	0	10	0	3	0	0	15	6	2	29	0	0	0	0	0	0	0	0	3	0	3	3	0	14	3		
1-300B12	154	19	0	0	0	3	0	0	11	0	4	0	0	18	6	4	31	0	0	0	0	0	0	0	0	4	0	5	4	0	15	5		
1-350B12	179	19	0	0	0	3	0	0	15	0	4	0	0	24	6	4	39	0	0	0	0	0	0	0	0	4	0	6	4	0	20	5		
1-400B12	209	20	0	0	0	3	0	0	18	0	4	0	0	28	8	4	40	0	0	0	0	0	0	0	0	6	0	6	6	0	22	6		
1-50B10	14	0	0	0	0	5	2	0	5	1	6	0	1	3	0	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
1-100B10	29	0	0	0	0	6	5	0	11	1	9	0	2	3	1	0	10	4	0	0	0	0	1	0	0	0	0	1	0	0	0	1		
1-150B10	42	0	0	0	0	6	8	0	21	1	12	0	3	5	2	0	18	6	0	0	0	0	2	0	0	0	1	1	0	0	0	2		
1-200B10	55	0	0	0	0	7	9	0	27	1	14	0	3	6	3	0	23	6	0	0	0	0	6	0	0	0	2	5	0	0	3	2		
1-250B10	70	0	0	0	0	10	9	0	35	2	15	0	3	8	3	0	30	7	0	0	0	0	10	0	0	0	3	8	0	0	5	2		
1-300B10	89	2	0	0	0	13	11	0	41	3	18	0	3	8	3	0	34	8	0	0	0	0	12	0	0	0	3	8	0	0	5	2		
1-350B10	106	2	0	0	0	18	11	0	48	3	20	0	3	12	4	0	40	8	0	0	0	0	12	0	0	0	4	8	0	0	7	2		
1-400B10	127	6	0	0	0	18	11	0	51	4	21	0	3	13	4	0	50	8	0	0	0	0	12	0	0	0	4	9	0	0	7	3		
1-450B10	152	6	0	0	0	21	13	0	55	5	24	0	4	13	5	0	54	8	0	0	0	0	12	0	0	0	4	10	0	0	8	3		
1-500B10	172	6	0	0	0	22	13	0	64	5	29	1	5	13	6	0	58	9	0	0	0	0	13	0	0	0	4	10	0	0	10	3		
1-550B10	192	6	0	0	0	22	15	0	72	6	30	1	7	14	6	0	63	10	0	0	0	0	13	0	0	0	4	10	0	0	11	3		
1-600B10	208	6	0	0	0	26	16	0	82	6	35	2	7	15	7	0	69	11	0	0	0	0	13	0	0	0	4	10	0	0	11	4		
1-50B9	26	0	0	0	0	3	0	0	3	2	0	0	1	0	2	0	2	2	0	0	0	0	1	0	0	0	1	2	0	0	0	0		
1-100B9	48	0	0	0	0	3	2	2	9	3	0	0	1	0	4	1	7	3	0	0	0	0	2	0	0	0	1	2	0	0	0	0		
1-150B9	68	0	0	0	0	3	5	2	14	5	0	0	1	0	6	1	9	7	0	0	0	0	4	0	0	0	1	2	0	0	1	0		
1-200B9	95	0	0	0	0	3	5	3	16	5	0	1	3	1	6	1	18	7	0	0	0	0	4	0	0	0	1	3	0	0	1	0
1-250B9	126	0	0	1	0	5	5	3	23	7	0	1	3	1	6	1	20	7	0	0	0	0	4	0	0	0	1	3	0	0	1	0
1-300B9	161	0	0	1	0	6	5	3	25	8	0	1	3	2	6	2	22	7	0	0	0	0	7	0	0	0	1	3	0	0	1	0
1-350B9	190	0	0	1	0	11	5	3	27	9	0	1	4	2	6	2	26	7	0	0	0	0	10	0	0	0	1	4	0	0	1	0
1-400B9	224	0	0	1	0	11	5	3	29	9	0	2	4	2	6	2	31	7	0	0	0	0	13	0	0	0	1	4	0	0	1	0
1-450B9	249	3	0	1	0	11	6	3	31	10	0	3	5	4	6	2	39	9	0	0	0	0	13	0	0	0	1	4	0	0	2	0
1-500B9	279	6	0	1	0	14	6	3	32	10	0	3	7	4	9	2	42	9	0	0	0	0	13	0	0	0	1	4	0	0	3	0
1-550B9	309	8	0	1	0	16	6	3	34	11	0	3	7	5	10	2	45	10	0	0	0	0	13	0	0	0	1	4	0	0	5	0
1-600B9	342	9	0	1	0	16	6	3	39	13	0	3	7	5	10	2	50	10	0	0	0	0	13	0	0	0	1	4	0	0	5	1
