step	CCRONDEL	CCOVOIDE	CC.CRUZ	CCCUBICA	CCTRAPEZIFORM	BILOBADA	POLILOBADA	SADDLE	ELONGATESMOOTH	ELONGATESINUOUS	ELECHINATE	ELDENDRITICO	TRAPEZIFORMSINUOUS	TRAPEZIFORMPOLILOBATE	BULIFORME	PAPILLA	TRICOMA	BASETRICOMA	ESTOMA	CORKCELL	XYLEMCELL	CYPERACEAE	DETGRAMINEA	cf.FERN	GLOBULARSMOOTH	GLOBULARECHINATE	GLOBULARRUGOSE	BLOCKY	JIGSAW	PLACAPERFORADA	EPIDERMDICOT	DETDICOT		
1-300M6	99	1	0	0	0	1	4	1	44	1	19	2	26	3	3	0	10	1	1	4	0	0	2	0	0	0	0	12	4	0	10	0
1-350M6	115	1	0	0	0	1	5	1	55	1	24	2	31	3	3	0	11	1	1	4	0	0	2	0	0	0	0	13	4	0	11	0
1-400M6	128	2	0	0	0	1	5	1	65	1	26	2	33	3	3	0	14	1	1	4	0	0	2	0	0	0	0	20	6	0	15	0
1-450M6	148	2	0	0	0	1	6	1	81	2	26	2	36	3	4	0	15	1	1	6	0	0	2	0	0	0	0	21	7	0	15	0
1-500M6	167	2	0	0	5	1	6	2	92	2	28	2	38	3	4	0	17	1	1	6	0	0	3	0	0	0	0	23	9	0	15	0		
1-550M6	176	2	0	0	5	1	9	2	107	2	29	2	47	4	4	0	20	2	1	6	0	0	3	0	0	0	0	24	10	0	15	0		
1-600M6	195	2	0	0	5	1	9	2	122	4	29	2	52	4	4	0	20	2	1	6	0	0	4	0	0	0	0	24	11	0	16	0		
1-50M7	38	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
1-100M7	77	0	0	0	0	3	0	0	3	0	2	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
1-150M7	118	0	0	0	0	5	0	0	5	0	3	0	3	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
1-200M7	157	0	0	0	0	6	1	0	7	0	4	0	3	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-250M7	182	0	0	0	0	7	2	0	16	1	4	0	3	1	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-300M7	219	0	0	0	0	9	3	0	18	1	4	0	4	3	0	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0		
1-350M7	256	0	0	0	0	12	3	0	23	1	4	0	5	3	0	0	12	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0		
1-400M7	291	0	0	0	0	17	3	0	27	1	4	0	7	3	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0		
1-50M8	16	2	0	0	0	0	0	0	16	1	3	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
1-100M8	30	4	0	0	0	1	0	0	31	1	4	2	6	2	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
1-150M8	46	4	0	0	0	1	0	3	40	1	9	4	9	5	1	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-200M8	69	4	0	0	0	1	0	4	49	1	10	5	12	5	1	0	10	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0		
1-250M8	81	8	0	0	0	1	0	5	56	1	12	5	20	5	3	0	17	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0		
1-300M8	97	8	0	0	0	1	0	6	68	1	14	5	27	5	4	0	20	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0		
1-350M8	119	8	0	0	0	1	0	6	80	1	15	5	36	5	4	0	21	1	0	0	0	0	0	0	0	0	0	6	0	0	2	0		
1-400M8	135	8	0	0	0	1	0	7	93	2	19	5	41	5	5	0	26	1	0	0	0	0	0	0	0	0	0	7	0	0	2	0		
1-50M9	35	0	0	0	0	1	0	0	6	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-100M9	72	0	0	0	0	1	0	1	11	0	0	0	6	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-150M9	113	0	0	0	0	1	0	1	14	0	0	0	8	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-200M9	148	0	0	0	0	1	0	3	21	0	1	2	9	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-250M9	187	0	0	0	0	1	0	3	25	0	1	2	12	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-300M9	217	0	0	0	0	1	0	3	29	2	2	2	15	1	2	0	11	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0		
1-350M9	255	0	1	0	0	1	0	3	33	2	3	2	17	2	2	0	11	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0		
1-400M9	292	0	1	0	0	1	0	3	35	3	5	2	19	2	4	0	11	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0		
1-50M10	20	1	0	0	0	1	0	0	8	1	6	0	0	0	2	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
1-100M10	61	1	0	0	0	1	0	1	13	1	6	0	1	0	3	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0		
1-150M10	80	1	0	0	0	1	0	3	28	1	9	0	3	0	5	0	11	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0		
1-200M10	97	1	0	0	0	1	0	4	45	2	14	0	3	0	6	0	15	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0		
1-250M10	110	1	0	0	0	1	0	4	65	2	19	0	4	0	7	0	20	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0		
1-300M10	132	1	0	0	0	1	0	4	83	2	20	0	7	0	7	0	22	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0		
1-350M10	160	1	0	0	0	2	0	4	94	3	21	0	9	0	7	0	23	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0		
1-400M10	185	1	0	0	0	2	0	4	108	3	26	0	12	0	8	0	24	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0		
1-50M11	45	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-100M11	87	0	0	0	0	0	0	0	3	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-150M11	132	0	0	0	0	0	0	1	5	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-200M11	174	0	0	0	0	0	0	1	8	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-250M11	217	0	0	0	0	0	0	1	10	0	1	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-300M11	257	0	0	0	0	0	0	2	13	0	1	1	1	8	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0		
1-350M11	300	0	0	0	0	0	0	2	17	0	4	1	1	8	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0		
1-400M11	346	0	0	0	0	0	0	2	17	0	4	1	1	8	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0		
1-50M12	34	0	0	0	0	1	0	1	5	0	1	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
1-100M12	68	0	0	0	0	2	0	2	9	0	2	0	5	5	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0		
1-150M12	95	0	0	0	0	4	0	2	18	1	3	0	6	8	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0		
1-200M12	120	0	0	0	0	5	0	3	23	1	4	0	8	11	0	0	6	1	0	0	0	0	0	0	0	0	0	9	0	0	2	0		
1-250M12	155	0	0	0	0	5	1	5	28	3	5	0	9	11	1	0	8	1	0	0	0	0	0	0	0	0	0	9	0	0	2	0		
1-300M12	188	0	0	0	0	7	2	5	34	3	7	0	10	12	1	0	8	1	0	0	0	0	0	0	0	0	0	9	0	0	2	0		
1-350M12	226	0	0	0	0	7	2	5	40	3	8	0	10	12	1	0	12	1	0	0	0	0	0	0	0	0	0	9	0	0	2	0		
1-400M12	261	0	0	0	0	8	2	5	44	3	10	0	12	12	1	0	15	1	0	0	0	0	0	0	0	0	0	9	0	0	2	0		
1-50M13	24	0	0	0	0	0	0	0	6	0	7	0	2	0	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0		
1-100M13	42	0	0	0	0	0	0	0	12	2	11	0	10	0	1	0	4	1	0	0	0	0	11	0	0	0	0	0	0	0	1	0		
1-150M13	59	0	0	0	0	0	0	1	24	2	17	1	13	0	1	0	8	1	0	2	0	0	13	0	0	0	0	0	0	0	1	0		
1-200M13	66	0	0	0	1	0	0	1	49	2	26	1	15	0	1	0	12	1	0	3	0	0	13	0	0	0	0	0	0	0	1	0		
1-250M13	73	0	0	0	1	0	0	1	63	2	40	1	19	2	1	0	17	1	0	3	0	0	13	0	0	0	0	1	0	0	1	0		
1-300M13	77	0	0	0	1	2	2	1	94	2	44	1	20	4	1	0	20	1	0	3	0	0	14	0	0	0	0	1	0	0	2	0		
1-350M13	83	0	0	0	1	2	2	1	122	2	49	1	20	5	1	0	24	1	0	3	0	0	16	0	0	0	0	1	0	0	2	0		
1-400M13	88	0	0	0	1	2	2	1	156	2	55	1	20	7	2	0	26	1	0	3	0	0	16	0	0	0	0	1	0	0	2	0		
1-450M13	97	0	0	0	1	2	2	1	174	2	65	1	21	8	2	0	31	1	0	3	0	0	16	0	0	0	0	1	0	0	3	0		
1-500M13	111	0	0	0	1	2	2	1	193	2	74	2	24	9	2	0	32	1	0	3	0	0	16	0	0	0	0	1	0	0	3	0		
1-550M13	122	0	0	0	3	2	2	1	215	2	78	4	24	11	2	0	34	2	0	3	0	0	16	0	0	0	0	1	0	0	3	0		
1-600M13	142	0	0	0	4	2	2	1	228	3	81	4	25	14	2	0	36	2	0	3	0	0	16	0	0	0	0	2	0	0	3	0		
1-50M14	11	0	0	0	0	1	0	1	11	2	4	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-100M14	26	0	0	0	0	1	0	1	24	3	9	0	3	0	5	0	3	1	0	0	0	0	0	0	0	0	0	3	0	0	2	1		
1-150M14	44	0	0	0	0	1	0	1	35	5	11	0	6	0	8	0	8	1	0	0	0	0	0	0	0	0	0	6	0	0	4	1		
1-200M14	63	0	0	0	0	1	0	1	50	5	12	0	7	0	8	0	13	1	0	0	0	0	0	0	0	0	0	7	1	0	4	1		
1-250M114	88	0	0	0	0	2	1	1	55	6	12	1	7	0	11	0	19	1	0	0	0	0	0	0	0	0	0	7	1	0	4	1		
1-300M14	105	0	0	0	0	2	1	1	68	6	18	1	8	0	15	0	20	1	0	0	0	0	0	0	0	0	0	11	1	0	4	1		
1-350M14	132	0	0	0	0	2	1	1	74	6	21	1	8	0	18	0	27	2	0	0	0	0	0	0	0	1	0	11	1	0	4	1		
1-400M14	163	0	0	0	0	3	1	1	81	6	24	1	8	0	18	0	30	2	0	0	0	0	1	0	0	1	0	14	1	0	4	1		
1-50M15	40	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
1-100M15	70	0	0	0	0	0	0	1	13	1	3	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
1-150M15	99	0	0	0	0	0	0	1	22	1	4	0	1	2	1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-200M15	127	0	0	0	0	0	0	1	28	1	4	0	1	4	1	2	11	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0		
1-250M15	162	0	0	0	0	0	0	2	31	1	5	0	3	6	2	2	13	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0		
1-300M15	200	0	0	0	0	1	1	2	37	1	6	0	3	7	2	2	13	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0		
1-350M15	234	0	0	0	0	1	1	2	44	1	6	0	4	9	5	2	14	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0		
1-400M15	271	0	0	0	0	2	1	2	49	1	6	0	5	10	5	2	15	0	0	0	0	0	0	0	0	3	0	5	0	0	1	0		
1-50M16	24	0	0	0	0	0	0	1	11	0	0	0	1	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-100M16	34	0	0	0	0	0	0	2	36	1	2	0	1	5	0	1	5	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0		
1-150M16	40	0	0	0	0	0	0	2	62	1	3	0	2	6	3	3	7	1	0	0	0	0	1	0	0	0	0	3	0	0	1	3		
1-200M16	45	0	0	0	0	1	0	3	82	1	8	0	4	7	4	3	12	1	0	0	0	0	1	0	0	0	0	5	0	0	1	5		
1-250M16	55	0	0	0	0	1	0	3	103	1	13	0	4	7	5	3	18	1	0	0	0	0	1	0	0	0	0	5	0	0	3	5		
1-300M16	59	0	0	0	0	1	0	3	123	3	21	0	4	8	6	3	24	2	0	0	0	0	1	0	0	0	0	7	0	0	3	5		
1-350M16	68	0	0	0	0	1	0	3	145	4	22	0	4	8	8	3	32	2	0	0	0	0	1	0	0	0	0	8	0	0	3	5		
1-50M17	29	0	0	0	0	0	0	0	8	0	0	0	2	2	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0		
1-100M17	59	0	0	0	0	0	0	0	14	0	3	0	4	2	2	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0		
1-150M17	82	0	0	0	0	0	0	0	25	0	5	0	4	3	2	0	5	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0		
1-200M17	109	0	0	0	0	1	0	0	33	0	7	1	5	5	3	0	6	0	0	0	0	0	0	0	0	3	0	4	0	0	1	0		
1-250M17	135	0	0	0	0	1	0	0	44	0	8	1	6	6	3	0	10	0	0	0	0	0	0	0	0	3	0	4	0	0	1	0		
1-300M17	164	0	0	0	0	1	0	0	48	0	10	1	8	6	4	0	14	0	0	0	0	0	0	0	0	3	0	6	0	0	3	0		
1-350M17	191	0	0	0	0	1	0	0	52	0	12	1	10	9	5	0	20	0	0	0	0	0	0	0	0	3	0	6	1	0	3	0		
1-400M17	223	0	0	0	0	1	0	0	55	0	12	1	11	10	6	0	24	0	0	0	0	0	0	0	0	4	0	8	1	0	3	0		
1-50M18	17	1	0	0	0	0	0	1	9	2	2	0	1	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0		
1-100M18	39	1	0	0	0	0	0	1	20	2	2	0	1	1	1	0	10	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0		
1-150M18	58	1	0	0	0	0	0	1	29	2	5	0	1	1	1	0	16	2	0	0	0	0	0	0	0	0	0	1	0	1	3	0		
1-200M18	84	1	0	0	0	0	0	1	36	2	9	0	5	1	1	0	16	3	0	0	0	0	0	0	0	1	0	1	0	1	4	0		
1-250M18	108	1	0	0	0	0	0	2	45	3	11	0	6	1	2	0	18	3	0	0	0	0	0	0	0	1	0	1	0	1	4	0		
1-300M18	133	1	0	0	0	0	0	2	57	3	15	0	7	1	2	0	20	3	0	0	0	1	0	0	0	1	0	1	0	1	5	0		
1-350M18	170	1	0	0	0	0	0	2	65	3	15	0	8	1	2	0	22	3	0	0	0	1	0	0	0	1	0	1	0	1	6	0		
1-400M18	199	1	0	0	0	0	0	2	74	3	15	0	9	3	2	0	27	3	0	0	0	1	0	0	0	1	0	1	0	1	6	0		
1-50M19	20	0	0	0	0	1	0	1	13	1	1	0	2	0	0	0	4	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0		
1-100M19	33	0	0	0	0	1	0	1	29	2	4	0	4	0	1	0	8	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0		
1-150M19	45	0	0	0	0	1	0	1	55	2	4	0	8	0	1	0	12	1	0	0	0	2	2	0	0	0	0	3	0	0	0	0		
1-200M19	58	1	0	0	0	2	0	2	75	2	5	0	9	0	1	0	16	1	0	0	0	2	5	0	0	0	0	5	0	0	1	0		
1-250M19	68	1	0	0	0	3	0	3	98	2	9	0	9	0	2	0	21	1	0	0	0	2	6	0	0	0	0	7	0	0	1	0		
1-300M19	80	1	0	0	0	3	0	3	124	2	11	0	9	0	2	0	26	1	0	0	0	2	6	0	0	0	0	7	0	0	1	0		
1-350M19	92	1	0	0	0	3	0	4	148	2	13	0	9	0	4	0	34	1	0	0	0	2	6	0	0	0	0	7	0	0	1	0		
1-400M19	95	1	0	0	0	3	0	5	182	3	13	1	9	0	4	0	40	1	0	0	0	3	6	0	0	0	0	7	0	0	1	0		
1-50M20	15	0	0	0	0	0	0	1	10	0	3	0	1	6	0	0	4	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0		
1-100M20	22	0	0	0	0	1	0	2	21	0	8	0	3	9	0	0	7	2	0	0	0	0	4	0	0	0	4	1	0	0	0	0		
1-150M20	31	0	0	0	0	1	0	2	36	0	10	0	7	13	0	1	12	2	0	0	0	0	5	0	0	0	4	2	0	0	0	0		
1-200M20	43	0	0	0	0	1	0	3	48	0	15	0	10	20	0	1	16	4	0	0	0	0	6	0	0	0	4	3	0	0	0	0		
1-250M20	55	0	0	0	0	1	1	3	62	0	20	0	13	25	2	1	19	5	0	0	0	0	6	0	0	0	4	3	0	0	0	0		
1-300M20	70	0	0	0	0	2	1	3	76	0	25	1	16	27	2	1	21	7	0	0	0	0	6	0	0	0	4	3	0	0	0	0		
1-350M20	77	0	0	0	0	2	1	4	87	2	31	1	19	34	3	1	27	7	0	0	0	0	6	0	0	0	4	5	0	0	0	0		
1-400M20	93	0	0	0	0	2	1	4	103	2	38	1	19	38	3	1	27	9	0	0	0	0	7	0	1	0	4	5	0	0	0	0		
1-450M20	110	0	0	0	0	3	1	4	112	2	41	1	20	42	3	1	32	9	0	0	0	0	10	0	1	0	4	6	0	0	1	0		
1-500M20	131	0	0	0	0	3	1	4	116	2	44	1	22	43	3	1	38	10	0	0	0	0	11	0	2	0	4	8	0	0	1	0		
1-550M20	151	0	0	0	0	3	1	4	129	2	45	1	23	43	3	1	42	10	0	0	0	0	12	0	2	0	4	8	0	0	3	0		
1-600M20	172	0	0	0	0	3	1	5	132	2	48	1	26	47	4	1	49	11	0	0	0	0	13	0	2	0	4	8	0	0	3	0		
1-50M21	23	0	0	0	0	0	0	1	11	0	2	0	2	0	0	0	2	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0		
1-100M21	46	0	0	0	1	1	0	1	21	0	3	0	2	0	0	0	7	1	0	0	1	0	0	0	0	0	0	3	0	0	1	0		
1-150M21	77	0	0	0	3	1	0	1	26	0	6	0	2	0	0	0	7	1	0	0	1	0	0	0	0	0	0	3	0	0	1	0		
1-200M21	104	0	0	0	4	1	0	1	30	0	6	0	2	0	0	1	10	1	1	0	1	0	0	0	0	0	0	4	0	0	3	0		
1-250M21	135	0	0	0	4	1	0	1	36	0	8	0	2	1	0	1	14	1	1	0	1	0	0	0	0	0	0	5	0	0	4	0		
1-300M21	166	0	0	0	4	2	0	2	37	0	9	0	5	1	0	1	19	1	1	0	1	0	0	0	0	0	0	7	0	0	4	0		
1-350M21	193	0	0	0	4	2	0	2	43	0	9	0	9	2	1	1	20	1	1	0	1	0	0	0	0	0	0	9	0	0	6	0		
1-400M21	219	0	0	0	4	2	0	2	46	0	14	0	14	4	1	1	22	2	1	0	1	0	0	0	0	0	0	9	0	0	6	0		
1-50M22	31	0	0	0	0	0	0	0	7	0	1	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
1-100M22	57	0	0	0	0	0	0	0	16	1	2	0	3	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1		
1-150M22	92	0	0	0	0	0	0	0	20	1	2	0	5	0	2	1	7	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1		
1-200M22	118	0	0	0	0	0	0	0	24	2	3	0	6	2	4	3	9	0	0	0	0	0	0	0	0	1	0	4	1	0	3	1		
1-250M22	151	0	0	0	0	0	0	0	30	2	5	0	6	5	4	3	10	0	0	0	0	0	0	0	0	2	0	4	1	0	3	1		
1-300M22	175	0	0	0	0	1	0	0	39	2	5	0	8	6	4	3	13	0	0	0	0	0	0	0	0	3	0	7	3	0	4	1		
1-350M22	196	0	0	0	0	1	0	1	45	3	7	0	11	10	4	5	17	1	0	0	0	0	0	0	0	3	0	10	3	0	4	1		
1-400M22	220	0	0	0	0	1	0	1	55	3	9	0	13	10	4	5	21	1	0	0	0	0	0	0	0	3	0	11	3	0	4	2		
1-50M23	8	1	0	0	0	0	0	0	16	0	8	0	0	0	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-100M23	21	1	0	0	0	1	0	0	31	2	12	0	1	0	7	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
1-150M23	28	2	0	0	0	1	0	2	48	4	18	0	1	0	8	3	14	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1		
1-200M23	31	2	0	0	0	1	0	4	69	4	23	0	1	1	13	3	20	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1		
1-250M23	37	2	0	0	0	1	0	4	92	4	23	0	2	4	15	4	25	3	0	0	0	1	0	0	0	0	0	2	0	1	0	1		
1-300M23	47	2	0	0	0	1	0	4	105	4	29	0	3	8	16	6	32	3	0	0	0	1	0	0	0	2	0	2	0	1	1	1		
1-350M23	51	2	0	0	0	1	0	5	128	5	31	0	3	11	22	6	38	3	0	0	0	1	0	0	0	2	0	4	0	1	1	1		
1-400M23	57	2	0	0	0	1	0	5	154	6	34	0	3	12	24	6	41	3	0	0	0	1	0	0	0	3	0	6	0	1	1	1		
