Reading No,Time,Type,Duration,Units,Sequence,Flags,SAMPLE,OBJNAME,X,Y,area,element,Al2O3,Al2O3 Error,FeO,FeO Error,MgO,MgO Error,Cr2O3,Cr2O3 Error,Mg,Mg Error,Al,Al Error,Bal,Bal Error,Si,Si Error,P,P Error,S,S Error,Cl,Cl Error,K,K Error,Ca,Ca Error,Ti,Ti Error,V,V Error,Cr,Cr Error,Mn,Mn Error,Fe,Fe Error,Co,Co Error,Ni,Ni Error,Cu,Cu Error,Zn,Zn Error,As,As Error,Se,Se Error,Rb,Rb Error,Sr,Sr Error,Zr,Zr Error,Nb,Nb Error,Mo,Mo Error,Pd,Pd Error,Ag,Ag Error,Cd,Cd Error,Sn,Sn Error,Sb,Sb Error,Ba,Ba Error,W,W Error,Au,Au Error,Pb,Pb Error,Bi,Bi Error
160,6/1/2007 0:59,Mining,123.79,%,Final,,SB026,SB026,371403.9944,7217628.011,A,undetermined,0.278,0,2.87,0,0,0,0.01,0,< LOD,0.2,0.147,0.033,91.487,0.049,3.72,0.059,0.782,0.02,0.086,0.008,0.058,0.003,0.677,0.019,0.436,0.023,0.245,0.006,0.006,0.003,0.007,0.002,0.071,0.008,2.231,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.025,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.017,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
161,6/1/2007 1:04,Mining,122.55,%,Final,,SB027,SB027,371403.8143,7217626.045,A,undetermined,0.199,0,3.458,0,0,0,0.011,0,< LOD,0.223,0.106,0.036,90.932,0.049,3.417,0.06,0.801,0.021,0.101,0.009,0.066,0.003,0.781,0.022,0.672,0.029,0.268,0.006,0.008,0.003,0.007,0.003,0.092,0.009,2.688,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.03,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
162,6/1/2007 1:08,Mining,124.08,%,Final,,SB028,SB028,371403.9639,7217624.155,A,undetermined,0.278,0,3.149,0,0,0,0.011,0,< LOD,0.29,0.147,0.036,90.998,0.049,3.561,0.06,0.824,0.021,0.105,0.008,0.066,0.003,0.912,0.022,0.539,0.027,0.254,0.006,0.007,0.003,0.007,0.002,0.077,0.008,2.447,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.023,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.022,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
163,6/1/2007 0:06,Mining,121.28,%,Final,,SB029a,SB029,371403.999,7217622.031,A,undetermined,0.277,0,3.259,0,0,0,0.017,0,< LOD,0.211,0.147,0.036,90.792,0.05,3.726,0.062,0.787,0.021,0.098,0.008,0.061,0.003,0.777,0.021,0.646,0.029,0.262,0.006,0.009,0.003,0.012,0.002,0.091,0.008,2.533,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.03,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.019,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
164,6/1/2007 0:09,Mining,122.31,%,Final,,SB029b,SB029,371403.999,7217622.031,A,undetermined,0.262,0,3.151,0,0.281,0,0.016,0,< LOD,0.245,0.139,0.036,90.761,0.051,3.673,0.062,0.796,0.021,0.1,0.009,0.065,0.003,0.786,0.021,0.624,0.028,0.269,0.006,0.006,0.003,0.011,0.002,0.093,0.009,2.449,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
165,6/1/2007 0:15,Mining,121.7,%,Final,,SB029c,SB029,371403.999,7217622.031,A,undetermined,0.397,0,3.253,0,0,0,0.016,0,< LOD,0.217,0.21,0.038,90.831,0.05,3.704,0.062,0.776,0.021,0.091,0.008,0.057,0.003,0.757,0.021,0.618,0.028,0.247,0.006,0.009,0.003,0.011,0.002,0.097,0.009,2.529,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.03,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
166,6/1/2007 0:20,Mining,123.27,%,Final,,SB030a,SB030,371403.9436,7217620.245,A,undetermined,0.307,0,3.292,0,0,0,0.013,0,< LOD,0.233,0.163,0.037,90.777,0.05,3.721,0.062,0.827,0.021,0.102,0.009,0.059,0.003,0.765,0.021,0.547,0.027,0.29,0.007,0.008,0.003,0.009,0.002,0.114,0.009,2.559,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
167,6/1/2007 0:27,Mining,122.99,%,Final,,SB030b,SB030,371403.9436,7217620.245,A,undetermined,0.332,0,3.266,0,0,0,0.013,0,< LOD,0.223,0.175,0.037,90.763,0.05,3.732,0.062,0.828,0.021,0.094,0.008,0.063,0.003,0.791,0.022,0.564,0.028,0.269,0.007,0.008,0.003,0.009,0.002,0.105,0.009,2.539,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
168,6/1/2007 0:32,Mining,123.81,%,Final,,SB030c,SB030,371403.9436,7217620.245,A,undetermined,0.245,0,3.46,0,0,0,0.014,0,< LOD,0.271,0.13,0.036,90.566,0.05,3.791,0.062,0.82,0.021,0.103,0.009,0.064,0.003,0.816,0.022,0.549,0.028,0.273,0.007,0.01,0.003,0.01,0.003,0.115,0.009,2.69,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.025,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
169,6/1/2007 0:36,Mining,123.24,%,Final,,SB030d,SB030,371403.9436,7217620.245,A,undetermined,0.295,0,3.296,0,0,0,0.013,0,< LOD,0.218,0.156,0.037,90.807,0.051,3.723,0.062,0.824,0.021,0.092,0.008,0.06,0.003,0.774,0.021,0.538,0.027,0.279,0.007,0.007,0.003,0.009,0.003,0.111,0.009,2.562,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
170,6/1/2007 0:46,Mining,123.75,%,Final,,SB031,SB031,371403.8435,7217618.073,A,undetermined,0.266,0,3.418,0,0,0,0.014,0,< LOD,0.284,0.141,0.036,90.845,0.05,3.547,0.06,0.794,0.021,0.1,0.008,0.06,0.003,0.828,0.022,0.577,0.029,0.271,0.007,0.011,0.003,0.009,0.003,0.101,0.008,2.657,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
172,6/1/2007 0:04,Mining,123.03,%,Final,,SB032,SB032,371403.9495,7217616.141,A,undetermined,0.335,0,3.739,0,0,0,0.014,0,< LOD,0.197,0.177,0.037,90.514,0.051,3.365,0.059,0.748,0.02,0.1,0.009,0.056,0.003,0.873,0.023,0.767,0.032,0.284,0.007,0.008,0.003,0.01,0.003,0.121,0.009,2.906,0.028,< LOD,0.011,< LOD,0.004,0.002,0.001,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.032,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.022,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
173,6/1/2007 0:08,Mining,122.11,%,Final,,SB033,SB033,371403.9139,7217614.009,A,undetermined,0.249,0,3.271,0,0,0,0.011,0,< LOD,0.349,0.132,0.035,90.874,0.049,3.325,0.058,0.729,0.02,0.109,0.008,0.058,0.003,0.83,0.022,0.966,0.035,0.264,0.007,0.009,0.003,0.008,0.003,0.1,0.009,2.543,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.02,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.019,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
175,6/1/2007 0:09,Mining,122.17,%,Final,,SB035,SB035,371403.7541,7217610.119,A,undetermined,0.296,0,3.289,0,0.451,0,0.012,0,0.272,0.167,0.157,0.036,90.557,0.054,3.452,0.059,0.766,0.02,0.101,0.008,0.057,0.003,0.826,0.022,0.763,0.032,0.308,0.007,0.008,0.003,0.008,0.003,0.104,0.009,2.557,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.03,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
176,6/1/2007 0:13,Mining,122.06,%,Final,,SB034,SB034,371403.7951,7217612.047,A,undetermined,0.287,0,3.16,0,0,0,0.013,0,< LOD,0.235,0.152,0.037,90.754,0.05,3.524,0.061,0.714,0.021,0.103,0.009,0.058,0.003,1.014,0.024,0.783,0.032,0.267,0.007,0.008,0.003,0.009,0.003,0.101,0.009,2.456,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
177,6/1/2007 0:18,Mining,122.35,%,Final,,SB036,SB036,371401.9483,7217609.999,A,undetermined,0.331,0,3.678,0,0,0,0.018,0,< LOD,0.3,0.175,0.039,90.298,0.053,3.361,0.06,0.738,0.021,0.086,0.009,0.068,0.004,1.069,0.026,0.832,0.035,0.294,0.007,0.01,0.003,0.012,0.003,0.129,0.009,2.859,0.028,< LOD,0.011,< LOD,0.004,< LOD,0.002,0.006,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
178,6/1/2007 0:22,Mining,122.66,%,Final,,SB037,SB037,371401.7009,7217612.157,A,undetermined,0.275,0,3.149,0,0,0,0.016,0,< LOD,0.233,0.146,0.037,91.167,0.049,3.414,0.06,0.676,0.02,0.095,0.009,0.063,0.004,0.815,0.021,0.704,0.029,0.287,0.007,0.01,0.003,0.011,0.002,0.104,0.009,2.448,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.029,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.019,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
179,6/1/2007 0:26,Mining,122.31,%,Final,,SB038,SB038,371401.675,7217614.12,A,undetermined,0.276,0,3.354,0,0,0,0.011,0,< LOD,0.366,0.146,0.036,90.793,0.05,3.443,0.059,0.785,0.021,0.093,0.008,0.062,0.003,0.83,0.022,0.782,0.032,0.269,0.007,0.009,0.003,0.007,0.003,0.108,0.009,2.607,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.031,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.022,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
180,6/1/2007 0:30,Mining,121.52,%,Final,,SB039,SB039,371401.8358,7217616.143,A,undetermined,0.264,0,3.56,0,0,0,0.015,0,< LOD,0.302,0.14,0.036,90.684,0.05,3.374,0.059,0.78,0.021,0.107,0.009,0.06,0.003,0.821,0.022,0.819,0.033,0.263,0.007,0.007,0.003,0.01,0.003,0.1,0.009,2.767,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.006,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.032,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
181,6/1/2007 0:35,Mining,122.81,%,Final,,SB040,SB040,371401.8135,7217618.222,A,undetermined,0.27,0,3.026,0,0,0,0.012,0,< LOD,0.265,0.143,0.036,91.362,0.047,3.59,0.06,0.807,0.021,0.094,0.008,0.058,0.003,0.727,0.019,0.477,0.024,0.229,0.006,0.008,0.003,0.008,0.002,0.086,0.008,2.352,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.03,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.019,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
182,6/1/2007 0:41,Mining,124.54,%,Final,,SB041,SB041,371399.9577,7217618.073,A,undetermined,0.315,0,3.228,0,0,0,0.014,0,< LOD,0.393,0.167,0.037,90.526,0.052,3.918,0.064,0.803,0.021,0.1,0.009,0.061,0.003,0.779,0.021,0.687,0.029,0.277,0.006,0.008,0.003,0.01,0.002,0.087,0.008,2.509,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.034,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
183,6/1/2007 0:45,Mining,124.56,%,Final,,SB042,SB042,371399.8959,7217616.078,A,undetermined,0.272,0,3.299,0,0,0,0.016,0,< LOD,0.216,0.144,0.037,90.692,0.051,3.739,0.062,0.806,0.021,0.096,0.008,0.057,0.003,0.819,0.022,0.656,0.029,0.249,0.006,0.009,0.003,0.011,0.002,0.091,0.008,2.565,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.032,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
184,6/1/2007 0:49,Mining,124.25,%,Final,,SB043,SB043,371399.7569,7217614.079,A,undetermined,0.255,0,3.249,0,0,0,0.017,0,< LOD,0.23,0.135,0.037,90.701,0.051,3.665,0.062,0.807,0.021,0.104,0.009,0.055,0.003,0.788,0.021,0.773,0.031,0.269,0.006,0.008,0.003,0.011,0.002,0.095,0.008,2.525,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.006,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.03,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
185,6/1/2007 0:53,Mining,122.67,%,Final,,SB044,SB044,371399.77,7217612.232,A,undetermined,0.311,0,3.555,0,0,0,0.017,0,< LOD,0.204,0.165,0.039,90.195,0.051,3.414,0.061,0.806,0.022,0.123,0.009,0.056,0.003,0.851,0.023,1.158,0.038,0.261,0.007,0.01,0.003,0.012,0.003,0.121,0.009,2.764,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.008,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.003,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.019,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
186,6/1/2007 1:00,Mining,123.72,%,Final,,SB045,SB045,371399.9313,7217609.766,A,undetermined,0.236,0,3.137,0,0,0,0.013,0,< LOD,0.236,0.125,0.038,90.272,0.051,3.253,0.06,0.802,0.021,0.125,0.009,0.058,0.003,0.795,0.022,1.683,0.044,0.24,0.006,0.006,0.003,0.009,0.003,0.133,0.009,2.438,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.008,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.003,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
187,6/1/2007 1:05,Mining,122.65,%,Final,,SB046,SB046,371397.8504,7217610.017,A,undetermined,0.308,0,3.251,0,0,0,0.013,0,< LOD,0.434,0.163,0.039,90.016,0.052,3.361,0.061,0.796,0.022,0.125,0.009,0.061,0.004,0.808,0.022,1.653,0.044,0.256,0.007,0.008,0.003,0.009,0.003,0.153,0.01,2.527,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.01,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.003,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
188,6/1/2007 1:07,Mining,123.13,%,Final,,SB047,SB047,371397.9087,7217612.106,A,undetermined,0.222,0,3.504,0,0,0,0.014,0,< LOD,0.245,0.118,0.037,90.403,0.052,3.342,0.06,0.834,0.022,0.109,0.009,0.059,0.003,0.876,0.023,1.044,0.036,0.281,0.007,0.009,0.003,0.009,0.003,0.133,0.009,2.723,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.008,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.003,0.001,0.024,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
189,6/1/2007 1:14,Mining,123.4,%,Final,,SB048,SB048,371397.8654,7217614.1,A,undetermined,0.338,0,3.203,0,0,0,0.011,0,< LOD,0.228,0.179,0.038,90.586,0.049,3.7,0.062,0.826,0.021,0.108,0.009,0.06,0.003,0.833,0.022,0.771,0.032,0.271,0.007,0.009,0.003,0.008,0.003,0.094,0.008,2.49,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.025,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
190,6/1/2007 1:19,Mining,122.47,%,Final,,SB049,SB049,371397.9943,7217616.061,A,undetermined,0.319,0,3.254,0,0,0,0.015,0,< LOD,0.207,0.169,0.038,90.607,0.051,3.546,0.061,0.817,0.021,0.095,0.008,0.057,0.003,0.81,0.022,0.931,0.033,0.263,0.006,0.01,0.003,0.01,0.002,0.091,0.008,2.53,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
191,6/1/2007 1:24,Mining,122.09,%,Final,,SB050a,SB050,371397.7189,7217617.878,A,undetermined,0.317,0,3.249,0,0,0,0.013,0,< LOD,0.237,0.168,0.037,90.806,0.051,3.609,0.061,0.807,0.021,0.099,0.008,0.056,0.003,0.805,0.021,0.709,0.03,0.255,0.006,0.007,0.003,0.009,0.002,0.086,0.008,2.525,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.006,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.024,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.022,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
192,6/1/2007 1:28,Mining,122.24,%,Final,,SB050b,SB050,371397.7189,7217617.878,A,undetermined,0.288,0,3.297,0,0,0,0.012,0,< LOD,0.348,0.152,0.037,90.795,0.049,3.618,0.061,0.811,0.021,0.102,0.008,0.057,0.003,0.765,0.021,0.698,0.03,0.275,0.007,0.009,0.003,0.008,0.002,0.088,0.008,2.563,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
194,6/1/2007 1:34,Mining,122.64,%,Final,,SB050c,SB050,371397.7189,7217617.878,A,undetermined,0.314,0,3.236,0,0,0,0.014,0,< LOD,0.224,0.166,0.037,90.707,0.05,3.642,0.062,0.782,0.021,0.105,0.009,0.057,0.003,0.828,0.022,0.767,0.031,0.255,0.006,0.011,0.003,0.01,0.002,0.093,0.008,2.515,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.025,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.006,< LOD,0.002,< LOD,0.002,< LOD,0.002
195,6/1/2007 1:40,Mining,121.99,%,Final,,SB051,SB051,371395.8961,7217618.158,A,undetermined,0.34,0,3.398,0,0,0,0.013,0,< LOD,0.368,0.18,0.037,90.547,0.052,3.626,0.061,0.766,0.021,0.086,0.008,0.061,0.003,0.857,0.022,0.754,0.031,0.289,0.007,0.011,0.003,0.009,0.002,0.104,0.009,2.641,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.028,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
196,6/1/2007 1:44,Mining,122.97,%,Final,,SB052,SB052,371395.72,7217616.072,A,undetermined,0.294,0,3.616,0,0,0,0.013,0,< LOD,0.24,0.156,0.038,90.319,0.052,3.414,0.06,0.812,0.021,0.098,0.009,0.059,0.003,0.849,0.023,1.04,0.037,0.25,0.007,0.008,0.003,0.009,0.003,0.109,0.009,2.811,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.006,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.027,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
197,6/1/2007 1:50,Mining,122.41,%,Final,,SB053,SB053,371395.7235,7217614.069,A,undetermined,0.274,0,3.307,0,0,0,0.012,0,< LOD,0.225,0.145,0.037,90.725,0.05,3.325,0.059,0.792,0.021,0.109,0.009,0.057,0.003,0.829,0.022,1,0.035,0.28,0.007,0.008,0.003,0.009,0.002,0.094,0.008,2.571,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.006,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
198,6/1/2007 1:57,Mining,122.8,%,Final,,SB054,SB054,371395.7476,7217612.153,A,undetermined,0.263,0,3.668,0,0.346,0,0.015,0,< LOD,0.264,0.139,0.039,89.957,0.053,3.322,0.061,0.778,0.021,0.102,0.009,0.061,0.004,0.897,0.023,1.23,0.039,0.253,0.007,0.009,0.003,0.011,0.003,0.118,0.009,2.851,0.028,< LOD,0.011,< LOD,0.004,< LOD,0.002,0.008,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.003,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
