Reading No,Time,Type,Duration,Units,Sequence,Flags,SAMPLE,OBJNAME,X,Y,area,element,Al2O3,Al2O3 Error,FeO,FeO Error,MgO,MgO Error,Cr2O3,Cr2O3 Error,Mg,Mg Error,Al,Al Error,Bal,Bal Error,Si,Si Error,P,P Error,S,S Error,Cl,Cl Error,K,K Error,Ca,Ca Error,Ti,Ti Error,V,V Error,Cr,Cr Error,Mn,Mn Error,Fe,Fe Error,Co,Co Error,Ni,Ni Error,Cu,Cu Error,Zn,Zn Error,As,As Error,Se,Se Error,Rb,Rb Error,Sr,Sr Error,Zr,Zr Error,Nb,Nb Error,Mo,Mo Error,Pd,Pd Error,Ag,Ag Error,Cd,Cd Error,Sn,Sn Error,Sb,Sb Error,Ba,Ba Error,W,W Error,Au,Au Error,Pb,Pb Error,Bi,Bi Error
75,6/1/2007 0:47,Mining,122.53,%,Final,,SA011,SA011,371375.9292,7217619.895,A,undetermined,0.212,0,2.995,0,0,0,0.01,0,< LOD,0.213,0.112,0.035,91.306,0.049,3.772,0.062,0.826,0.021,0.087,0.008,0.055,0.003,0.714,0.02,0.366,0.023,0.291,0.006,0.007,0.003,0.007,0.002,0.068,0.008,2.328,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.031,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
79,6/1/2007 1:09,Mining,121.55,%,Final,,SA012,SA012,371374.0216,7217619.908,A,undetermined,0.387,0,3.086,0,0,0,0.009,0,< LOD,0.313,0.205,0.038,91.011,0.05,3.853,0.063,0.799,0.021,0.082,0.008,0.058,0.003,0.796,0.021,0.386,0.023,0.254,0.006,0.008,0.003,0.006,0.002,0.089,0.008,2.399,0.025,< LOD,0.01,< LOD,0.004,0.002,0.001,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.023,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
80,6/1/2007 1:19,Mining,121.71,%,Final,,SA013,SA013,371383.7392,7217623.87,A,undetermined,0.217,0,3.11,0,0,0,0.01,0,< LOD,0.225,0.115,0.035,91.226,0.048,3.533,0.06,0.806,0.021,0.093,0.008,0.058,0.003,0.805,0.021,0.546,0.027,0.255,0.006,0.007,0.003,0.007,0.002,0.077,0.008,2.417,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.018,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
81,6/1/2007 1:30,Mining,121.76,%,Final,,SA014,SA014,371381.6955,7217623.997,A,undetermined,0.346,0,3.508,0,0,0,0.01,0,< LOD,0.245,0.183,0.037,90.893,0.05,3.31,0.058,0.759,0.02,0.091,0.008,0.058,0.003,0.835,0.022,0.69,0.031,0.27,0.007,0.008,0.003,0.007,0.002,0.094,0.009,2.727,0.028,< LOD,0.011,< LOD,0.004,< LOD,0.002,0.004,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.035,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.029,0.004,< LOD,0.005,< LOD,0.002,0.002,0.001,< LOD,0.002
82,6/1/2007 1:43,Mining,122.4,%,Final,,SA015,SA015,371379.9378,7217624.054,A,undetermined,0.19,0,3.575,0,0,0,0.014,0,< LOD,0.222,0.1,0.036,91.09,0.05,3.368,0.06,0.775,0.021,0.084,0.009,0.068,0.004,0.871,0.023,0.463,0.027,0.248,0.006,0.01,0.003,0.01,0.002,0.074,0.008,2.779,0.028,< LOD,0.011,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
83,6/1/2007 1:50,Mining,122.24,%,Final,,SA016,SA016,371377.711,7217623.99,A,undetermined,0.245,0,3.474,0,0,0,0.01,0,< LOD,0.245,0.13,0.038,91.012,0.051,3.634,0.063,0.684,0.021,0.074,0.009,0.061,0.004,0.876,0.023,0.385,0.025,0.284,0.007,0.008,0.003,0.007,0.003,0.082,0.008,2.7,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.031,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
84,6/1/2007 1:57,Mining,125.18,%,Final,,SA017,SA017,371375.7341,7217623.977,A,undetermined,0.297,0,3.297,0,0,0,0.01,0,< LOD,0.199,0.157,0.035,90.878,0.05,3.7,0.059,0.81,0.02,0.09,0.008,0.06,0.003,0.882,0.023,0.408,0.025,0.289,0.007,0.007,0.003,0.007,0.003,0.094,0.008,2.562,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
85,6/1/2007 2:02,Mining,132.29,%,Final,,SA018,SA018,371373.8649,7217623.911,A,undetermined,0.238,0,3.748,0,0,0,0.011,0,< LOD,0.302,0.126,0.037,90.454,0.045,3.56,0.06,0.812,0.021,0.095,0.008,0.06,0.003,0.896,0.023,0.644,0.03,0.26,0.006,0.009,0.003,0.008,0.003,0.101,0.007,2.914,0.024,< LOD,0.009,< LOD,0.003,0.002,0.001,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.004,< LOD,0.002,< LOD,0.002,< LOD,0.002
86,6/1/2007 2:07,Mining,122.99,%,Final,,SA019,SA019,371373.8816,7217625.995,A,undetermined,0.263,0,3.327,0,0,0,0.011,0,< LOD,0.392,0.139,0.037,90.827,0.051,3.547,0.061,0.805,0.021,0.091,0.009,0.059,0.003,0.921,0.023,0.589,0.028,0.267,0.006,0.01,0.003,0.008,0.003,0.09,0.008,2.586,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.025,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
87,6/1/2007 2:12,Mining,123.4,%,Final,,SA020,SA020,371375.7959,7217625.992,A,undetermined,0.25,0,3.234,0,0,0,0.012,0,< LOD,0.221,0.132,0.035,91.253,0.05,3.501,0.059,0.715,0.02,0.08,0.008,0.065,0.003,0.851,0.022,0.442,0.025,0.287,0.007,0.008,0.003,0.008,0.003,0.086,0.009,2.514,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.002,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
