SAMPLE,Al2O3,FeO,MgO,Cr2O3,Bal,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Zn,Rb,Sr,Zr,Ba
SR04,0.414,3.23466666666667,0,0.013,90.645,0.219,4.231,0.706333333333333,0.0756666666666667,0.0626666666666667,0.711333333333333,0.421,0.252333333333333,0.00733333333333333,0.009,0.083,2.514,0.00533333333333333,0.002,LOD,0.029,0.0216666666666667
SROCK,13.091,23.893,0,0.04,60.274,6.928,12.384,0.218,0.048,0.044,0.773,0.075,0.275,0.019,0.027,0.26,18.572,0.004,0.003,LOD,0.013,0.056
SROCK2,2.107,1.6445,5.0805,0.0145,62.427,1.115,11.2365,LOD,0.097,0.0505,0.1695,19.9145,0.062,LOD,0.0095,0.55,1.2785,LOD,LOD,LOD,LOD,0.0235
SSLAGBIG,9.726,38.9123333333333,0.356666666666667,0.0553333333333333,44.678,5.14733333333333,16.8096666666667,0.153666666666667,0.574333333333333,0.119333333333333,0.636333333333333,0.371666666666667,0.224,0.0156666666666667,0.0376666666666667,0.706666666666667,30.246,LOD,0.002,0.00233333333333333,0.0113333333333333,0.0393333333333333
SSLAGSMALL,6.44666666666667,37.4213333333333,0,0.0436666666666667,53.871,3.41233333333333,11.1216666666667,0.188333333333333,0.238666666666667,0.134666666666667,0.741,0.282333333333333,0.199,0.0153333333333333,0.03,0.619333333333333,29.0876666666667,LOD,0.002,0.003,0.0123333333333333,0.0303333333333333
SS01,3.747,1.129,0,0.017,70.176,1.983,24.68,0.471,0.663,0.07,0.492,0.345,0.132,LOD,0.012,LOD,0.878,LOD,LOD,0.011,0.005,0.07
SS02,3.36,2.552,0.769,0.012,64.609,1.778,29.425,0.267,0.418,0.058,0.352,0.434,0.131,LOD,0.008,0.011,1.984,LOD,LOD,LOD,0.012,0.047
SS03,4.381,1.317,0.386,0.009,64.82,2.319,29.013,0.545,0.825,0.067,0.574,0.405,0.11,LOD,0.006,0.033,1.023,LOD,LOD,LOD,0.004,0.02
SS04,5.163,2.056,0,0.026,68.139,2.732,23.993,0.661,0.672,0.156,1.099,0.655,0.182,0.006,0.017,0.043,1.598,0.002,0.002,LOD,0.008,0.033
SS05,2.833,0.495,0.648,0,54.277,1.499,41.625,0.898,0.568,0.084,0.076,0.14,0.034,LOD,LOD,LOD,0.385,LOD,LOD,LOD,LOD,0.019
