Grass_LC_inflo	Grass_LC_leafculm	Grass_LC_undet	Grass_bulliform	Grass_SC_panicoid	Grass_SC_chloridoid	Grass_SC_pooid	Grass_SC_undet	Cyperaceae	Arecaceae	Dicot	Undetermined	Unidentified	ID
0.89	0.87	0.22	0.63	1.52	1.04	0.29	1.46	0.00	0.00	0.00	1.09	0.12	SKP_Hand1
0.80	0.94	0.30	0.30	1.55	1.07	0.13	1.39	0.00	0.00	0.13	1.22	0.00	SKP_Hand2
0.33	1.00	0.55	1.19	0.74	0.51	0.00	0.69	0.00	0.26	0.33	1.74	0.85	SKP_Hand3
0.94	1.01	0.12	0.22	1.54	1.10	0.12	1.38	0.00	0.00	0.22	1.14	0.00	SKP_Hand4
0.88	0.84	0.12	0.72	1.42	1.06	0.37	1.51	0.30	0.00	0.12	1.12	0.22	SKP_Hand5
0.75	0.72	0.00	0.42	1.38	1.17	0.48	1.54	0.00	0.00	0.30	1.21	0.22	SKP_Hand6
0.90	0.73	0.43	0.52	1.50	1.09	0.48	1.50	0.00	0.00	0.00	1.04	0.12	SKP_Hand7
0.48	0.64	0.12	0.48	1.58	1.05	0.22	1.50	0.12	0.00	0.00	1.16	0.00	SKP_Quern1
0.72	0.63	0.22	0.42	1.53	1.09	0.30	1.50	0.00	0.00	0.36	1.13	0.00	SKP_Quern2
0.93	0.99	0.00	0.57	1.50	1.23	0.20	1.40	0.28	0.00	0.11	0.97	0.00	SKP_Quern3
1.02	0.83	0.00	0.48	1.56	1.20	0.37	1.41	0.00	0.00	0.22	0.85	0.00	SKP_Quern4
1.03	0.69	0.00	0.22	1.42	1.07	0.81	1.56	0.12	0.00	0.00	0.94	0.29	SKP_Quern5
0.67	0.48	0.22	0.43	1.37	1.33	0.60	1.53	0.00	0.00	0.22	1.13	0.00	SKP_Quern6
0.87	0.47	0.12	0.55	1.45	1.21	0.55	1.54	0.00	0.00	0.00	1.03	0.12	SKP_Quern7a
0.75	0.56	0.00	0.59	1.42	1.06	0.56	1.63	0.00	0.00	0.00	1.05	0.00	SKP_Quern7b
0.52	0.47	0.00	0.52	1.43	1.15	0.72	1.57	0.00	0.00	0.22	1.16	0.00	SKP_Quern8
0.52	0.77	0.12	0.63	1.46	1.09	0.42	1.56	0.00	0.00	0.22	1.13	0.00	SKP_Quern9a
0.85	0.63	0.22	0.69	1.29	1.15	0.69	1.55	0.00	0.00	0.00	1.24	0.00	SKP_Quern9b
0.85	1.00	0.00	0.52	1.47	1.12	0.52	1.42	0.00	0.00	0.00	1.19	0.13	SKP_Mortar
1.00	0.77	0.00	0.34	1.58	1.06	0.87	1.38	0.00	0.00	0.11	0.92	0.11	SKP_Pestle
0.95	1.09	0.58	0.12	1.50	0.95	0.35	1.47	0.00	0.00	0.00	0.98	0.12	SKP_Control1
0.82	0.90	1.05	0.88	1.41	0.86	0.60	1.21	0.00	0.20	0.40	1.32	0.00	SKP_Control2
0.83	1.08	0.72	0.69	1.51	0.87	0.55	1.27	0.00	0.00	0.12	1.25	0.00	SKP_Control3
0.22	1.05	0.48	0.43	1.35	0.78	0.48	1.45	0.00	0.00	0.00	1.49	0.00	SKP_Control4
0.87	1.02	0.36	0.81	1.42	1.08	0.36	1.33	0.00	0.00	0.22	1.30	0.00	SKP_Control5
0.43	0.73	0.30	0.57	1.41	1.06	0.48	1.51	0.00	0.22	0.22	1.32	0.00	SKP_Control6
0.95	0.98	0.21	0.51	1.37	0.87	0.55	1.46	0.00	0.00	0.00	1.34	0.00	SKP_Control7
0.66	1.04	0.22	0.60	1.54	1.07	0.42	1.30	0.00	0.00	0.12	1.27	0.00	SKP_Control8
0.82	1.10	0.70	0.52	1.49	1.02	0.22	1.37	0.00	0.00	0.22	1.15	0.00	SKP_Control9
0.65	1.14	0.61	0.65	1.45	1.13	0.29	1.39	0.00	0.00	0.12	1.12	0.00	SKP_Control10
0.80	1.11	0.52	0.42	1.46	1.08	0.42	1.41	0.30	0.00	0.30	1.14	0.00	SKP_Control11
