ID,Context,Al,Ba,Ca,Co,Cr,Fe,Mn,Mo,Ni,Pb,Sc,Sr,Ti,V
KMR DC002 ash,Dung ash,0,2.255272505,1,0.477121255,1.176091259,-0.102372909,2.660865478,1,1.041392685,1.255272505,0,3.115610512,-1.698970004,1.301029996
KMR DC003 ash,Dung ash,0.130333768,2.230448921,0.968482949,0.602059991,1.397940009,0.40654018,2.609594409,1.255272505,1.301029996,0.903089987,0.602059991,3.158362492,-2,1.977723605
KMR DC004 ash,Dung ash,0.152288344,2.204119983,0.896526217,0.698970004,1.278753601,0.008600172,2.7930916,1,1.146128036,0.903089987,0.301029996,3.031408464,-1.698970004,1.431363764
KMR DC005 ash,Dung ash,0.053078443,2.278753601,0.912753304,0.84509804,1.146128036,0.214843848,2.815577748,1.204119983,1.278753601,1.041392685,0,3.141449773,-1.698970004,1.462397998
KMR DC006 ash,Dung ash,0.012837225,2.278753601,1.209515015,0.602059991,1.113943352,-0.180456064,2.716003344,1.342422681,1.113943352,0.903089987,0,3.456366033,-1.698970004,1.301029996
KMR DC007 ash,Dung ash,-0.102372909,2.380211242,1.278753601,0.698970004,1.041392685,-0.167491087,2.81756537,1.544068044,1.380211242,0.84509804,0,3.495544338,-2,1.255272505
KMR DC008 ash,Dung ash,0.1430148,2.176091259,0.882524538,0.698970004,1.342422681,0.056904851,2.652246341,1.041392685,1.146128036,0.903089987,0.301029996,2.953759692,-1.522878745,1.612783857
ALM DC001 ash,Dung ash,0.139879086,2.255272505,0.550228353,0.77815125,1.342422681,0.23299611,2.638489257,0.903089987,1.301029996,1.113943352,0.477121255,2.688419822,-1.22184875,1.447158031
ALM DC002 ash,Dung ash,-0.214670165,2.230448921,0.639486489,0.301029996,1,-0.173925197,2.580924976,1.113943352,0.84509804,0.77815125,0,2.385606274,-1.698970004,1.146128036
NAG DC001 ash,Dung ash,-0.408935393,2.204119983,0.369215857,0.698970004,0.954242509,-0.142667504,3.367355921,0.602059991,0.84509804,0.477121255,0.301029996,2.551449998,-1.698970004,1.230448921
